region,n_obs,n_heatwave_days,hw_coef,hw_se,hw_rr,interaction_sum,interaction_se,p50,p99
1101,5078,447,0.01830537820770862,2959367.9784928025,1.0184739486543386,0.40271832056983803,1461811.7543252236,26.153804779052734,29.674119682312007
1102,5088,461,0.019398861941306023,,1.0195882424703353,0.42677496270841386,1313900.1517773492,21.524105072021484,25.19433906555176
1201,5002,474,-1.3926997412117479,1833956.3190849668,0.2484037726560776,-30.639394306560344,3224714.975621606,17.725114822387695,20.301110038757322
1202,3596,286,-0.023489606216520048,,0.9767841270988064,-0.5167713367633975,,24.199851989746094,27.229163589477544
1301,5093,453,0.1105413311479074,,1.116882510134388,2.4319092852516255,,25.629905700683594,28.189389781951903
1302,4362,348,-0.057227818593716936,,0.9443788977849811,-1.2590120090621373,1464627.8531023061,25.787086486816406,28.18905849456787
1303,3727,328,-0.024365198010578383,6323797.969473517,0.975929237254436,-0.5360343562320107,6754050.859250874,26.283690452575684,29.592690086364744
1304,4611,420,0.009155367755326459,259076.1522228016,1.009197406329623,0.20141809061633476,561837.8010684364,26.624134063720703,30.53863929748535
1401,4631,423,0.20941597569555565,,1.2329577723390794,4.60715146531432,,24.812922477722168,27.596366291046138
1402,1639,141,0.048088878070929306,,1.049263907732377,1.0579553175607983,,26.073816299438477,29.53871335983277
1501,5093,453,0.9578517662424453,,2.606091960951226,21.072738857193265,,27.364171981811523,29.477398643493654
1502,5092,438,-0.026251562329711653,431924.38997967937,0.9740900144308213,-0.5775343712432655,,26.878860473632812,27.991691818237307
1503,5084,465,0.16383328844063916,,1.1780179095189864,3.6043323457174985,,26.78669548034668,29.34533317565918
1504,4782,436,-0.28775020616633934,,0.7499489014548678,-6.330504535651377,,25.882349014282227,29.04848350524902
1505,5082,477,0.04904194559784569,597701.451912308,1.0502644037844189,1.0789228031905491,,26.12416648864746,29.386249351501466
1506,4352,403,-5.713059296898269,,0.0033025535824057826,-125.68730452754832,,26.22316551208496,29.17200958251953
1507,4439,405,-1.031517710997407,1258277.6842957693,0.35646553814425314,-22.693389641843687,935596.5048856302,27.221405029296875,29.108921127319334
1601,4904,442,-0.8145213075842559,,0.4428512661729728,-17.91946876675368,,26.565448760986328,29.4376180267334
1602,1455,120,-4.038005406782743,,0.017632607242940225,-88.83611895032845,783549.6581991997,26.48674774169922,28.512901782989502
1701,5009,467,-0.177552860532544,1267436.3718500491,0.8373167371572688,-3.9061629317133626,629443.1096586726,26.781987190246582,31.100583324432375
1702,5077,475,-0.062375977478099344,333922.93545091467,0.9395295784157625,-1.3722715045179779,64901.66886384611,27.11680507659912,30.73189987182617
1703,4644,447,0.24441133656583464,,1.2768694455752947,5.3770494044452075,,26.44922637939453,30.99922225952148
2101,5093,401,-0.006189939503102048,2165552.841578602,0.9938291787052336,-0.13617866906792483,3904676.227748741,26.905043601989746,27.804077720642088
2102,5091,471,2.1498363065280697,,8.583453226912567,47.2963987441447,1085823.7551624593,26.950478553771973,28.556432914733886
2103,5081,461,-0.44266528025843094,,0.6423221690202056,-9.738636165711934,,27.619850158691406,31.157023887634274
2104,4957,459,0.18167345535634513,,1.1992225302417163,3.9968160178436953,371318.85184310214,27.2029447555542,30.981938285827635
2105,5093,480,-0.03873324877837573,,0.9620072915432419,-0.8521314731235157,,26.81866455078125,30.323514347076415
2201,5093,476,1.0312789941543639,1241325.6030984586,2.804650673532923,22.68813787114522,2223906.0791358296,28.293145179748535,32.162661437988284
2202,5086,435,0.026090191938013263,,1.026433520327202,0.5739842226336718,,27.215702056884766,28.265404891967773
2203,5062,470,0.24734754809328283,274106.9403084426,1.2806241139131451,5.441646058055699,,27.735877990722656,32.00168334960938
2204,3963,349,0.04592884927806185,818518.6667317385,1.0469999135069796,1.010434684117426,1055057.9894855272,27.07389545440674,31.21856441497803
2205,4001,379,0.008993594742924516,877355.8852634955,1.009034158629985,0.1978590843449397,1585505.8924227608,26.515862464904785,31.048403053283693
