region_code,n_obs,rr_p01_lag7,rr_p01_lag7_low,rr_p01_lag7_high,rr_p025_lag7,rr_p025_lag7_low,rr_p025_lag7_high,rr_p975_lag7,rr_p975_lag7_low,rr_p975_lag7_high,rr_p99_lag7,rr_p99_lag7_low,rr_p99_lag7_high,rr_p01_lag14,rr_p01_lag14_low,rr_p01_lag14_high,rr_p025_lag14,rr_p025_lag14_low,rr_p025_lag14_high,rr_p975_lag14,rr_p975_lag14_low,rr_p975_lag14_high,rr_p99_lag14,rr_p99_lag14_low,rr_p99_lag14_high,rr_p01_lag21,rr_p01_lag21_low,rr_p01_lag21_high,rr_p025_lag21,rr_p025_lag21_low,rr_p025_lag21_high,rr_p975_lag21,rr_p975_lag21_low,rr_p975_lag21_high,rr_p99_lag21,rr_p99_lag21_low,rr_p99_lag21_high,rr_p01_lag28,rr_p01_lag28_low,rr_p01_lag28_high,rr_p025_lag28,rr_p025_lag28_low,rr_p025_lag28_high,rr_p975_lag28,rr_p975_lag28_low,rr_p975_lag28_high,rr_p99_lag28,rr_p99_lag28_low,rr_p99_lag28_high,rr_p01_lag35,rr_p01_lag35_low,rr_p01_lag35_high,rr_p025_lag35,rr_p025_lag35_low,rr_p025_lag35_high,rr_p975_lag35,rr_p975_lag35_low,rr_p975_lag35_high,rr_p99_lag35,rr_p99_lag35_low,rr_p99_lag35_high
2802,5069,1.0725140317983886,0.9408302840687209,1.2226289564467452,1.0653828745443394,0.9563125768153845,1.186892964591303,1.0700352667177218,0.9613396376939112,1.1910207663612682,1.1101725071795465,0.964707485539689,1.277571713883643,1.1498579951665837,0.9363178347104165,1.4120989262769257,1.1291865657895273,0.9499744670374568,1.342206916714185,1.03318539204772,0.8918342974381717,1.1969398994938363,1.0555757354383464,0.8669662431874746,1.2852174372437017,1.2941134373113368,1.0350797367389069,1.6179715718386287,1.2556539214527311,1.034393973405036,1.5242420305964486,1.0407687298177288,0.8855475123062971,1.2231975516992324,1.0809590927863113,0.8733405133252141,1.3379346800579373,1.370827471452054,1.0781508234840131,1.7429546178104798,1.3261376672538205,1.0765020382578991,1.633662594225469,1.0633227383689468,0.896320212911156,1.2614412010861427,1.128056568498971,0.8997934410777442,1.41422638090082,1.2738067245370863,0.948069974678738,1.7114597179662054,1.2466197034074424,0.9670612604257586,1.6069930091496671,1.0721949085435716,0.898928079883147,1.278858617984429,1.1412769083462504,0.8882263249452896,1.4664201509729
2901,5079,1.0496549995229851,0.9934723672959445,1.109014859691,1.0426409252230293,1.0001727789815624,1.0869123033491142,1.078185225950835,1.0361814893941081,1.1218916699027295,1.1090657352521802,1.049578768062662,1.171924244790958,1.0910869088585564,1.0081027222874832,1.1809021207493875,1.081707660987424,1.0143579081954457,1.1535291975201238,1.0573679611005011,0.9969475203801617,1.1214502090696796,1.0876752715116125,1.007447948106957,1.1742914345905853,1.1100587620755542,1.0131840810573034,1.2161960282427888,1.0993427471623463,1.022634567504244,1.1818048344365577,0.996045217293475,0.937092861443619,1.0587062560319125,1.0073461143884062,0.9264882159206731,1.0952607672025734,1.102821687285144,0.9922123218744884,1.2257615100453259,1.0934882593489232,1.0100412127843574,1.1838294895291783,0.9446571111871662,0.8899785457330142,1.0026950222507809,0.9387479827299964,0.8582120539390905,1.026841525978126,1.070781015530048,0.9341041414221309,1.227456267856769,1.066449543625042,0.9617357389847886,1.1825645892068166,0.9273554836272958,0.8716630364008281,0.9866062424358168,0.91437215737515,0.8318170157473478,1.0051206291226338
2902,5078,1.1284770684421668,1.1284770684421668,1.1284770684421668,1.1046454091547904,1.1046454091547904,1.1046454091547904,1.164423860782997,1.164423860782997,1.164423860782997,1.2131792901500411,1.2131792901500411,1.2131792901500411,1.3013470011151484,1.3013470011151484,1.3013470011151484,1.2457401965127253,1.2457401965127253,1.2457401965127253,1.158650330876831,1.003618367752175,1.3376305499945653,1.2118194257636479,1.2118194257636479,1.2118194257636479,1.3244449654498427,1.3244449654498427,1.3244449654498427,1.2721361060886063,1.2721361060886063,1.2721361060886063,1.1408473542806377,0.9289805601955232,1.401033284803286,1.1959355109529723,0.9338380265897107,1.5315951006852115,1.2799300352819056,1.2799300352819056,1.2799300352819056,1.2414704555402265,1.2414704555402265,1.2414704555402265,1.1155627514340924,0.9719474764024603,1.280398666184605,1.1660507153279087,0.8920467204821603,1.5242186754319436,1.247300658260235,1.247300658260235,1.247300658260235,1.211661642985867,1.211661642985867,1.211661642985867,1.0781376021282802,0.7851172446963828,1.4805186065839488,1.1135372201033307,0.7586698952927209,1.6343934934666577
2903,5079,1.1151878248502856,1.0356610648704554,1.200821317783025,1.102401183261891,1.0347727045343227,1.1744495806005357,1.1857037843279394,1.1062104818452778,1.2709095486280473,1.241927910489432,1.137249767058674,1.3562411525849716,1.243485239924401,1.1177834083905651,1.3833230394215759,1.2082120128291496,1.1011052999554025,1.325737209696284,1.1924647652900784,1.097525630261047,1.2956164095412561,1.25716048959036,1.1304362009967783,1.3980908389111097,1.3174305507306587,1.198484818598375,1.448181261092897,1.270309854580703,1.1738033944250734,1.3747507753930357,1.1909141809755346,1.0813065793827847,1.3116322544325845,1.259899893351759,1.1151252084463072,1.4234704132277747,1.3112771286589304,1.1897032610416012,1.445274434768389,1.261763708588434,1.1798434307823003,1.3493719715464485,1.172549293554815,1.0554781248645697,1.302605722873042,1.233721828751057,1.0778575740093008,1.4121249295259104,1.225911213223196,1.0411970085376632,1.443394756595678,1.1791390756922464,1.0471277842377582,1.3277930170064813,1.1245895672301909,1.0284889292941914,1.229669720986593,1.1603107877321028,1.0255860935578536,1.3127334044253467
2904,5079,1.1929286746250016,1.0956272435934034,1.2988713370025324,1.1482341928666522,1.0800800097942491,1.220688976476187,1.1264023315144711,1.0699634898061787,1.1858182307426892,1.1769872346977932,1.1015769692829067,1.2575598340108236,1.3549151052589954,1.2438668620073943,1.4758773615821927,1.2728748142313442,1.1925422296806798,1.3586187997202528,1.103749651021364,1.0436463576116506,1.1673142758029045,1.1506041260329527,1.066748314710875,1.2410517425592318,1.440109968789468,1.3400323236856302,1.547661713489637,1.3407385824973228,1.2660812679453337,1.4197982326317349,1.0949009500916151,1.0288126396713229,1.1652346056853533,1.143739945786386,1.0476925600065918,1.2485924912735988,1.449966319201591,1.3153360374132255,1.5983765874412212,1.351717597636072,1.251017276334648,1.4605237659965558,1.0843210816612359,1.0125255290205186,1.1612074702673163,1.1321117174943465,1.0256910005320792,1.2495741312180046,1.4013463177430487,1.1756717785468564,1.6703399180673073,1.3163630736884795,1.1498555760520388,1.5069820748446408,1.0539368825800604,0.9792584191398007,1.1343103421447311,1.0892499507606466,0.9785271913030229,1.2125012628950596
2905,5069,1.090307116316072,0.9816526045285969,1.210988085199786,1.0839751099225978,1.0025594750038218,1.172002328268085,1.3349178559143369,1.179046721776157,1.5113953070107813,1.5036454174696878,1.3028508719235836,1.7353862903276345,1.2572101745296593,1.1992529535240457,1.317968338786505,1.2130831792992456,1.2130831792992456,1.2130831792992456,1.3856175733426366,1.1537702682445783,1.6640540256571643,1.5860686958488581,1.2879557779953918,1.9531834484776058,1.3800716001643343,1.2415689360509787,1.5340248666643053,1.3006423020092999,1.2376360457647622,1.3668561153862733,1.399499941691202,1.2173989341167415,1.6088399881955697,1.6005083037827579,1.3443214127827996,1.90551664662909,1.4344108818120702,1.2518891777439236,1.6435437053372735,1.3365328907304224,1.2122527984985456,1.4735541713879263,1.3928138593853334,1.2952354524019847,1.4977434745924465,1.5831855672504422,1.3702334996139471,1.829233149719581,1.4204948503252441,1.2183505818145939,1.6561781558763218,1.3262693334341302,1.1792481861158957,1.491620140287364,1.3630461351500398,1.3630461351500398,1.3630461351500398,1.537837855817904,1.537837855817904,1.537837855817904
2906,4988,1.1442794621933237,0.7264892976036187,1.8023327968030896,1.1227063524905756,0.8059812702548342,1.5638943489644102,1.2459573744714127,1.0287504352410328,1.5090246631448294,1.3631587775196725,1.1201331599229383,1.6589115644578956,1.293226207680948,0.7744958658182192,2.159384056189889,1.2357982257517983,0.8510833283448987,1.7944156628484689,1.284073347014367,1.001003661311352,1.64719113849457,1.4169157891917776,1.0966448659913557,1.8307206060241414,1.354422031378329,0.7319891571581537,2.5061287057926265,1.2814820971329666,0.8147022565208044,2.015701260341815,1.313059130776849,0.9704556736176646,1.7766131187520025,1.4585616151975613,1.064713029158987,1.9980989497312212,1.3764324660353657,0.6278303063839026,3.017640776961344,1.2974391741118028,0.7260795371479337,2.3184077286245657,1.332523383888108,0.9120638660390096,1.946813852323659,1.4857680981186954,0.9970756620518351,2.2139812708340716,1.4076974208916244,0.48463733212863286,4.088855516105743,1.3187841758058032,0.5974788779564811,2.9108839935969586,1.3306229905190743,0.8346389692089948,2.121345405877609,1.4783054926235975,0.9058521736258957,2.4125207104968887
2907,5060,1.139251615162099,1.0487055174201647,1.2376155375269653,1.1084410686828068,1.035076155011037,1.1870059964134538,1.2124881353341004,1.1199598863811109,1.3126608338414132,1.275278280759812,1.1934632138424408,1.3627019873881157,1.2084778097301039,1.0299336325483703,1.4179735183485052,1.1656969737631044,1.0290998094344856,1.3204253097541425,1.2095692270197729,1.0902530852886465,1.3419432007989809,1.2779165312985938,1.1599608893900744,1.407867003020183,1.2273691489746537,1.0055314640846373,1.4981480755812195,1.1823054254849663,0.9990292542792799,1.399204390805975,1.1698170644789645,1.0757061878367624,1.2721614692002186,1.2281760269559074,1.2281760269559074,1.2281760269559074,1.2395577258163595,0.981691270941015,1.5651594356728737,1.1860400559304998,0.9702500270732084,1.4498232156869435,1.0784274999752854,1.025771211882879,1.1337868125272896,1.0995732017510764,1.0995732017510764,1.0995732017510764,1.2755382509539286,0.9633730931993321,1.6888553781831275,1.1968106681819304,0.9538941213509236,1.5015878003793002,0.9319834827561976,0.8692827637228085,0.9992067580064697,0.894311234693633,0.894311234693633,0.894311234693633
2908,5071,1.1003816591982591,1.049329407491931,1.1539177185494296,1.0893923895901998,1.0536362535108112,1.1263619437377952,1.263327649905635,1.2088677814629476,1.3202409523104761,1.409840933253155,1.3204016408090455,1.5053385240101937,1.1787897539347525,1.0714524079791745,1.296880079444987,1.1573198311354576,1.0775544717444254,1.2429897760723883,1.2876192615905488,1.1890288226635828,1.3943845020551577,1.4613959789468463,1.308879431516431,1.6316844438510845,1.2085434909082942,1.0463559114111574,1.3958705192834557,1.182530623781973,1.0565439357079416,1.3235404879260348,1.2632513314711613,1.16749788725417,1.366858085042725,1.426507974313283,1.2652864445855276,1.6082721896589747,1.2201534623315307,1.031774664003938,1.4429259833365513,1.187836180048545,1.0379238881857307,1.3594010184105494,1.1986329811511196,1.1296147750531635,1.2718681228612676,1.3160306976879341,1.1752867763832826,1.473629102325724,1.2390772459736408,1.02719099533392,1.4946708338214372,1.1926747885794022,1.02581259519359,1.3866793583719597,1.0958592528124806,1.0311232125100736,1.164659555138272,1.1399573492262691,1.0105513687509964,1.285934390115288
2909,5078,1.1012992943151199,0.99524983497331,1.2186489191344672,1.0899794238980856,1.0011289660376967,1.1867153831572055,1.2027676958859743,1.1388463765401708,1.270276799458937,1.3004752619157987,1.1964294426278705,1.4135692808932288,1.1651277261271407,1.0390495716370112,1.3065041892577267,1.1447513306486101,1.0400951497185769,1.2599381983238163,1.2093592255463843,1.1347762379074444,1.28884416817815,1.3149420670259278,1.1955746288311346,1.446227276773901,1.167120540816741,1.0271312218198771,1.326189222816984,1.1509239932572535,1.034667977980861,1.2802426154525535,1.199411272831023,1.1120792030827398,1.2936015684910727,1.3081905213344471,1.1702309092784449,1.4624143205758469,1.1350818765743749,0.966101770205344,1.3336181614218074,1.129379220278039,0.9877187723083555,1.2913568709592516,1.1555283927500246,1.0498468343476888,1.2718482570660852,1.2511666386898208,1.089558963490548,1.4367446005449387,1.0929662289519126,0.8767970671951894,1.3624306265653063,1.098012383510557,0.9123985649621477,1.321386552589057,1.0634225997770972,0.9394744475909066,1.2037236655201884,1.1220481140713445,0.9416667039109621,1.3369825704383225
