region_code,region_name,heat_log_rr,heat_se,cold_log_rr,cold_se,n_obs,temp_p50,ac_pct,hdi,gdp_per_capita,urban_pct,elderly_pct,hospital_beds,physicians,mean_temp,macro_region,ac_pct_z,hdi_z,urban_pct_z,elderly_pct_z,mean_temp_z,hospital_beds_z
1101,Porto Velho,0.06492256268816944,0.10364452469860623,-0.1230842403635467,0.11103648752774918,5078,26.153804779052734,35.2,0.725,28547,75.2,10.8,1.8,1.3,25.8,North,1.1536491055177396,-0.6701403322801754,-0.9975395711948756,-0.9308968861755169,0.6855852903572509,-0.30615598394184645
1102,Ji-Paraná,0.05571192503398832,0.07614683081882007,0.03748745977534871,0.10965366287201718,5088,21.524105072021484,35.2,0.725,28547,75.2,10.8,1.8,1.3,25.8,North,1.1536491055177396,-0.6701403322801754,-0.9975395711948756,-0.9308968861755169,0.6855852903572509,-0.30615598394184645
1201,Rio Branco,0.2118736070732544,0.6300576610517485,0.031901388089962505,0.0,5002,17.725114822387695,28.4,0.71,19262,73.1,9.5,1.6,1.2,25.2,North,0.27587048628172733,-1.0428588316944305,-1.2557986252111464,-1.4015565964516474,0.48719890016253303,-0.855987138776183
1202,Cruzeiro do Sul,0.11249735750186768,0.16508239538371433,0.06027313215192991,0.427051574022389,3596,24.199851989746094,28.4,0.71,19262,73.1,9.5,1.6,1.2,25.2,North,0.27587048628172733,-1.0428588316944305,-1.2557986252111464,-1.4015565964516474,0.48719890016253303,-0.855987138776183
1301,Manaus,-0.10299030106679703,0.05470493583656607,-0.023122174240617105,0.030974124076472095,5093,25.629905700683594,42.1,0.733,24871,81.0,8.7,1.4,1.1,27.1,North,2.044336233860163,-0.4713571325925727,-0.2842526601023213,-1.6911933412369586,1.1154224691124723,-1.4058182936105201
1302,Tefé,0.19724068227336514,0.3376591060152236,-0.13256408554287807,0.5195459349428355,4362,25.787086486816406,42.1,0.733,24871,81.0,8.7,1.4,1.1,27.1,North,2.044336233860163,-0.4713571325925727,-0.2842526601023213,-1.6911933412369586,1.1154224691124723,-1.4058182936105201
1303,Lábrea,0.007141814672876717,0.0,0.043542752905091395,2.6472273230684213,3727,26.283690452575684,42.1,0.733,24871,81.0,8.7,1.4,1.1,27.1,North,2.044336233860163,-0.4713571325925727,-0.2842526601023213,-1.6911933412369586,1.1154224691124723,-1.4058182936105201
1304,Parintins,-0.013644690768329222,0.06346905003621842,0.04491924452467265,0.45561010349447917,4611,26.624134063720703,42.1,0.733,24871,81.0,8.7,1.4,1.1,27.1,North,2.044336233860163,-0.4713571325925727,-0.2842526601023213,-1.6911933412369586,1.1154224691124723,-1.4058182936105201
1401,Boa Vista,-0.005518102789397517,2.7613402542968153,0.021551393775809214,10.828970475650028,4631,24.812922477722168,38.5,0.752,24385,77.8,7.4,1.9,1.5,27.5,North,1.5796299060293333,0.0007529666654837616,-0.6777902662223518,-2.1618530515130887,1.2476800625756168,-0.031240406524678497
1402,Rorainópolis - Caracaraí,-0.09345408682537877,0.0,-0.03833464056395565,2.158976282608771,1639,26.073816299438477,38.5,0.752,24385,77.8,7.4,1.9,1.5,27.5,North,1.5796299060293333,0.0007529666654837616,-0.6777902662223518,-2.1618530515130887,1.2476800625756168,-0.031240406524678497
1501,Belém,0.20690295344547713,0.03934225991891344,0.2192503114765712,0.11873971994977081,5093,27.364171981811523,29.8,0.698,19877,75.4,9.2,1.5,0.9,26.8,North,0.45658961377149476,-1.3410336312258346,-0.9729434708123733,-1.5101703757461393,1.0162292740151133,-1.1309027161933516
1502,Castanhal,-0.022511236922855515,0.12779170158559056,0.06747380969697833,0.0,5092,26.878860473632812,29.8,0.698,19877,75.4,9.2,1.5,0.9,26.8,North,0.45658961377149476,-1.3410336312258346,-0.9729434708123733,-1.5101703757461393,1.0162292740151133,-1.1309027161933516
1503,Marabá,-0.01715380996546054,0.07421874999999999,-0.034517606756602676,0.04605400829121718,5084,26.78669548034668,29.8,0.698,19877,75.4,9.2,1.5,0.9,26.8,North,0.45658961377149476,-1.3410336312258346,-0.9729434708123733,-1.5101703757461393,1.0162292740151133,-1.1309027161933516
