region_code,region_name,heat_log_rr,heat_se,cold_log_rr,cold_se,n_obs,temp_p50,ac_pct,hdi,gdp_per_capita,urban_pct,elderly_pct,hospital_beds,physicians,mean_temp,macro_region,ac_pct_z,hdi_z,urban_pct_z,elderly_pct_z,mean_temp_z,hospital_beds_z
110001,,0.10197302413659544,0.058004853144208966,-0.20656011132559415,0.41743906273101705,5356,26.241474151611328,,,40857.912727939685,82.19692406176331,10.66454723145779,,,,,,,0.8889960818044614,-1.4261499707385643,,
110002,,0.09911386001125258,0.12779170158559056,0.09770407129002624,0.12681783656834317,4093,26.030719757080078,,,34741.63274843632,69.44098771335881,11.962765119198354,,,,,,,0.01002236203377129,-1.0784898007430703,,
110003,,0.14934860252283627,0.14184045043254145,-0.015312055529419557,0.18782523875267668,3153,26.115009307861328,,,32060.389733840304,55.91444866920152,13.679657794676803,,,,,,,-0.9220513026920274,-0.6187093547505249,,
110004,,-0.03487545386981605,0.10811212893045348,-0.02874311705950027,0.0,5072,20.02862548828125,,,31583.8173773822,69.16177457951005,13.877803983679652,,,,,,,-0.009217386438207407,-0.56564619917147,,
110005,,0.1252247220923465,0.0,-0.17383123324821395,0.14771617500928932,5080,25.536657333374023,,,33287.88281202117,66.07623211500875,13.927649634638827,,,,,,,-0.22183296113667783,-0.5522976329179551,,
110006,,-0.2514103969516527,0.0,0.006364615634958939,0.11744762795603833,3928,25.445419311523438,,,44373.625070023394,72.84542129370284,12.6035522456915,,,,,,,0.24461177719665977,-0.9068882818984532,,
120001,,0.3088985860989646,0.12152613078621072,-0.11805812935427945,0.13407033048226963,5282,26.11273956298828,,,30692.32891046929,75.99722412558862,10.523147246126802,,,,,,,0.4617931571800231,-1.464016605763205,,
120002,,0.06210526592291209,0.20752585008762123,-0.08907796536859519,0.14224329262525878,2159,16.634594917297363,,,26991.209563994373,54.71870604781998,9.929676511954993,,,,,,,-1.0044463782942625,-1.622946888790359,,
120003,,-0.10930851443271045,0.3802360716155469,-0.09423394901015089,0.2369004562508798,1548,25.720760345458984,,,17341.130831474144,53.74779394625554,8.111617994738769,,,,,,,-1.071349049973807,-2.1098193461227766,,
120004,,0.1810926122743528,0.31301227543071286,-0.03733455520247379,0.25459641776250513,3109,23.6842098236084,,,19492.841738768933,49.16140514979084,7.889677033803622,,,,,,,-1.387383491557347,-2.169254694330747,,
120005,,-0.3202371057716061,1.60612916009462,-0.020778990281192324,4.769363287890219,1820,25.292278289794922,,,15807.739885377065,43.419395108664816,7.114566191908302,,,,,,,-1.7830483637358974,-2.376827837177882,,
130001,,0.16810358490825902,0.0648366901277259,0.17236381478683743,0.14592340503400666,5458,26.676002502441406,,,46002.66757685456,81.13885273767096,9.752189430301256,,,,,,,0.8160875267506821,-1.6704775764834205,,
130002,,-0.17611729468201454,4.437059837324712,0.04157108248013116,8.631338250816034,2099,25.228097915649414,,,10077.400257096697,43.71469342988218,8.024247284563584,,,,,,,-1.7627002327360957,-2.133217048649428,,
130003,,0.07226726630370382,0.19947708434237346,0.2686980869704276,0.1183535734964306,2717,26.485361099243164,,,33106.28648439925,63.02005648220357,7.803781127675522,,,,,,,-0.4324249546107837,-2.1922574472649137,,
130004,,0.2849910992654325,0.13821723447620413,0.13446542915227708,0.1733776642279074,3041,26.386073112487793,,,14514.98139287613,55.98936735778841,8.790359737728158,,,,,,,-0.9168888781871577,-1.928053656419165,,
130005,,0.021352204953119257,0.22963966338592293,-0.059551408663950416,0.11213046948755721,3172,25.790367126464844,,,12814.514802631578,58.43338815789474,6.667123538011696,,,,,,,-0.7484786576285473,-2.4966520905531486,,
130006,,0.1900934617632834,0.5207486910389214,0.049864196550231686,0.7477995062598665,3047,25.709585189819336,,,10463.530359766792,49.51177892591364,6.658766649286628,,,,,,,-1.3632402743996914,-2.498890048743547,,
130007,,0.22809933174309036,0.2779825938971101,0.3244455652951649,0.20342525884830526,1820,25.91701889038086,,,13206.982568724288,54.432251380520825,6.6073889296814485,,,,,,,-1.024185119346628,-2.512648899935318,,
130008,,0.14321792411070328,0.5684902394445748,0.014179909289757537,0.5284854539152426,2586,26.210477828979492,,,12665.25274982448,51.28056985724315,8.216563304469927,,,,,,,-1.2413581403137977,-2.0817152007663573,,
130009,,-0.16005858916732346,0.15229366163764005,-0.04639263907194482,0.07753684859874689,2863,26.401984214782715,,,13453.013115006544,48.455586068834535,8.640890075199547,,,,,,,-1.4360193898660503,-1.9680813349580166,,
130010,,0.048022393789026785,0.6614378277661477,0.183309856380467,9.4078590816402,4148,26.695444107055664,,,11856.124327020658,52.76330047990092,9.261743812030204,,,,,,,-1.139187573197537,-1.801817938245354,,
130011,,0.07376470959557699,0.12001790231044696,0.3216716600197582,0.21207376254906865,3503,26.433761596679688,,,18115.66842090608,52.83602038259127,9.39659733244229,,,,,,,-1.1341766605037702,-1.7657044335142238,,
140001,,0.11598119411865378,0.08752092383753156,0.10730484781380299,0.14320549046737,4917,24.602087020874023,,,31215.25010200255,61.30085187581653,7.93888914074703,,,,,,,-0.5508902421952531,-2.156075789905421,,
140002,,-0.10645095893052985,0.4490658707249973,-0.24870663688954814,1.072989353322646,998,24.919992446899414,,,15035.87068838262,15.060112516196757,5.660253571487149,,,,,,,-3.7372023693293546,-2.76628986633092,,
140003,,-0.03560959324360159,0.3205981957606749,-0.17019242269289314,0.5266850631655684,1230,25.830829620361328,,,24814.782433250388,39.01910014123344,9.067523034501312,,,,,,,-2.086259631805229,-1.8538298764338421,,
140004,,-0.7069138347399636,0.0,-0.98776991146476,0.6959705453537527,773,26.45709800720215,,,21361.362169141383,48.37959974176888,9.974176888315045,,,,,,,-1.441255382170211,-1.6110297764502073,,
150001,,0.20759668159043818,0.03767051078512876,0.33386404734851616,0.04626062219658988,5458,27.165414810180664,,,25186.55650920378,89.21707410912715,13.482046178796326,,,,,,,1.3727337888565654,-0.671629352709928,,
150002,,-0.019300022677484735,0.12524390267094843,0.11592989322842982,0.16261451794139567,3862,27.560420989990234,,,12312.99628550457,39.47863609066038,9.197268622522744,,,,,,,-2.0545943732304104,-1.8190842658443886,,
150003,,0.299661622333848,0.07689460814464659,0.3676494387116507,0.09841502099487595,4765,27.306743621826172,,,13911.205302339797,50.86273662692371,8.878942903958315,,,,,,,-1.270149788270211,-1.9043312605708729,,
150004,,0.06265593046828541,0.09431794115351277,0.1579185492609585,0.07138932375975417,5364,27.060304641723633,,,16907.88752590381,56.07754937683536,12.107563421365365,,,,,,,-0.9108125169400055,-1.0397131032242466,,
150005,,-0.001169499713225996,0.11558144238682418,0.13404756570529944,0.06971315741240135,4790,26.831077575683594,,,10446.270792223557,44.32702022770579,10.67972686155244,,,,,,,-1.72050661021417,-1.4220848959702914,,
150006,,0.05511062556113898,0.1620034480728728,0.02661449750553439,0.0,4435,26.770573616027832,,,16057.770664297002,61.41553779429362,12.875961203479772,,,,,,,-0.5429875758902635,-0.8339377044435444,,
150007,,0.29706714782913096,0.1181600270488607,0.04353750441122105,0.16655473129162374,4242,27.04328155517578,,,29233.29041320379,62.31417534823832,8.70613023390323,,,,,,,-0.48106512880818736,-1.9506101501286885,,
150008,,-0.057400948698784975,0.15970305544343458,-0.015046805883849093,0.13816202487365148,2888,26.633615493774414,,,12073.388432517442,38.0201100868314,10.108581084472403,,,,,,,-2.1550970718918214,-1.5750365998614149,,
150009,,-0.10128639090388204,0.0642010934136469,0.016115226304167302,0.11700017580198464,5298,26.86848258972168,,,33952.40831738088,66.4957116802074,10.202470494249582,,,,,,,-0.1929278691293339,-1.5498932025379344,,
150010,,0.10702748825929741,0.10126157341262282,0.04226096434365209,0.1660960283239789,4144,25.895793914794922,,,226369.2874061523,47.96378133451383,6.1627194020205724,,,,,,,-1.469908194648364,-2.6317305156165296,,
150011,,0.06298959929247226,0.11418684361127705,0.12214101819020659,0.11083016374305554,4558,27.061887741088867,,,29863.449581821053,64.09468202619536,9.929304087107464,,,,,,,-0.35837569738936403,-1.6230466234242946,,
150012,,0.17431098051473176,0.16535945694153695,0.1814272267703915,0.42569164768203993,4413,25.940397262573242,,,31174.475730734765,69.75111563418906,11.015395976962322,,,,,,,0.03139235673518061,-1.3321933740403782,,
150013,,0.15386548999022734,0.0,0.07219570183206601,0.0,2710,25.757152557373047,,,31258.223887655982,66.89198530214283,8.707388947502457,,,,,,,-0.16562182980724618,-1.950273069128638,,
150014,,-0.1023066490378231,0.1769492445766582,-0.09941713327911404,0.19764235376052372,2522,26.228252410888672,,,31418.847947565228,55.88525692197807,10.069955043905718,,,,,,,-0.9240628193649537,-1.585380576751949,,
150015,,0.2624216145843755,0.09309668193603896,0.030931687483067172,0.1976423537605237,5326,26.17544174194336,,,16549.577722150832,52.71750837499164,10.609684535791484,,,,,,,-1.1423429712560478,-1.4408420915927571,,
150016,,0.03365585295142048,0.2786747332170496,0.2997686331673146,0.7282563840021203,4162,26.27631187438965,,,22216.62087350305,45.476143558779455,9.086008112640029,,,,,,,-1.6413239315615407,-1.8488796092492858,,
150018,,0.05842509714046682,0.11035156250000004,0.3107077141719215,0.18366905453624538,4461,26.35800075531006,,,35530.560679095724,50.275642651929154,9.181917293490857,,,,,,,-1.3106046918508858,-1.8231953212467844,,
150019,,0.18047049195294984,0.6312190586476298,0.35715213510287763,0.0,1443,25.7241153717041,,,14597.90055691334,46.1396690572539,7.22518263285121,,,,,,,-1.5956023585129475,-2.347204974154912,,
150020,,0.006417803340133721,0.1671948012424429,-0.012742192734499674,0.19168506478727024,4017,27.23033332824707,,,10121.176392563171,34.25863834992594,6.949244551213557,,,,,,,-2.414288926891447,-2.421100643962189,,
150021,,-0.28641896850576154,0.20536624106398302,0.09467156127170462,0.120017902310447,3113,27.118539810180664,,,9446.616170700348,47.95251513879729,10.227764787390663,,,,,,,-1.470684514762087,-1.543119441109759,,
160001,,-0.06407925295153721,0.08769509500251425,0.22106166410149378,0.5968259142120087,5236,26.768142700195312,,,27533.50263115103,84.82495320668289,8.59388244411615,,,,,,,1.0700857713484735,-1.9806698851296538,,
160002,,-0.19085203823655508,0.0,0.24543553076574595,1.171354050874457,1110,26.265438079833984,,,29555.2634414395,100.0,8.768451675466006,,,,,,,2.1157532130243313,-1.933920591948445,,
