region_code,n_days,n_years,total_deaths,mmt,mmt_percentile,mean_pop,temp_range,total_heat_an,total_cold_an,total_heat_af_pct,total_cold_af_pct,p2_5,p97_5,n_heat_days_97_5,n_cold_days_2_5,heat_an_97_5,cold_an_2_5,heat_af_pct_97_5,cold_af_pct_2_5,heat_annual_97_5,cold_annual_2_5,heat_rate_per_100k_97_5,cold_rate_per_100k_2_5,p1,p99,n_heat_days_99,n_cold_days_1,heat_an_99,cold_an_1,heat_af_pct_99,cold_af_pct_1,heat_annual_99,cold_annual_1,heat_rate_per_100k_99,cold_rate_per_100k_1,protective_heat_deaths,protective_cold_deaths
120003,1569,4.295687885010267,1902.0,27.832279205322266,93.9922480620155,4872.0,9.167999267578125,35.69899639649559,1372.2074395328634,1.8769188431385693,72.14550155272678,21.698646545410156,28.414264678955078,40,40,30.523462433755675,49.06038408245721,1.6048087504603403,2.579410309277456,7.105605260630504,11.420844669290947,145.84575658108588,234.4179940330654,19.870685577392578,29.038684844970703,16,16,16.28693195782971,19.29846894587235,0.8563055708638124,1.0146408488891878,3.7914607377930545,4.492521212542942,77.82144371496418,92.21102653002755,0.0,0.014665079034972708
120005,1841,5.040383299110198,2284.0,26.924379348754883,88.79120879120879,6269.0,7.913591384887695,148.46087179559711,1714.1166447438238,6.500038169684637,75.0488898749485,21.977161407470703,28.05998992919922,46,46,58.77134491079907,48.26888177970232,2.57317622201397,2.1133485893039547,11.660094366468964,9.576430782203298,185.9960817749077,152.75850665502148,20.607078552246094,28.52066993713379,19,19,22.99766039049756,20.242179266615143,1.0069028191986673,0.8862600379428697,4.562680856941464,4.015999987578045,72.78163753296322,64.0612535903341,0.0008427461143934484,0.0
120002,2180,5.968514715947981,2858.0,12.763814926147461,1.0189902732746643,7060.0,6.6410675048828125,2682.5772493694303,0.0,93.86204511439574,0.0,13.491560935974121,19.157005310058594,55,55,73.94914849003337,16.792337873513315,2.5874439639619795,0.5875555589052944,12.38987453485536,2.813486884541623,175.4939735815207,39.8510890161703,12.773588180541992,19.414655685424805,22,22,33.7809206830405,0.0,1.1819776306172323,0.0,5.659853797926854,0.0,80.16790082049368,0.0,0.0,18.51958058150617
110003,3174,8.68993839835729,4988.0,26.809412002563477,68.03044719314939,14391.0,6.7619476318359375,777.3613093271293,2078.120050097037,15.584629296855038,41.66239073971606,23.717792510986328,29.409313201904297,80,80,108.83694305585412,119.67199726084777,2.1819756025632344,2.399198020466074,12.524478087949186,13.771328607285648,87.02993598741703,95.69403521149086,23.19389533996582,29.955842971801758,32,32,36.75532197936588,49.97645529700587,0.7368749394419785,1.001933746932756,4.229641258022491,5.751071297174352,29.3908780350392,39.9629719767518,0.02718845970519409,0.0
120004,3130,8.569472963723477,4729.0,25.13117218017578,88.61370215503376,12146.0,6.635292053222656,267.48202453424227,2439.364456356389,5.656206904932169,51.583092754417194,20.95158576965332,26.125690460205078,79,79,118.75100961723338,28.759274752406125,2.51112306232255,0.6081470660267737,13.857446090317728,3.3560144100052196,114.09061493757392,27.63061427634793,20.03007698059082,26.665369033813477,32,32,44.84902980180316,5.102538338844356,0.9483829520364383,0.1078988864208999,5.2335808738366145,0.5954319898603517,43.08892535679742,4.902288735883022,0.03620586686616088,9.410920965566973
110006,3949,10.811772758384668,7310.0,25.19965934753418,43.04989816700611,19124.0,11.712331771850586,1627.4731979966427,817.4076506273948,22.263655239352158,11.182047204205126,19.688182830810547,28.939748764038086,99,99,185.6971214860339,181.5529341625595,2.5403162993985484,2.4836242703496514,17.17545546284474,16.792152241801684,89.81099907364955,87.80669442481533,17.984899520874023,29.69723129272461,40,40,71.98665270537634,74.1468239431654,0.9847695308533015,1.0143204369790069,6.658172930017399,6.857970991451294,34.81579653847207,35.860546912002164,0.0,0.07198508582006544
110002,4114,11.263518138261464,8203.0,22.080364227294922,1.0017102369899828,22014.0,7.6553802490234375,6907.564171702787,0.0,84.2077797354966,0.0,23.467493057250977,29.22389030456543,103,103,191.33085651567848,43.29569281697973,2.3324497929498778,0.5278031551503076,16.986775727358182,3.8438871661161516,77.16351288888063,17.461102780576685,22.0832576751709,29.738637924194336,42,42,90.05309527803273,0.0009225791572416457,1.0978068423507585,1.1246850630764911e-05,7.995112554764574,8.190861380226328e-05,36.31830905226026,0.00037207510585201815,0.0,51.904920771364004
130002,2120,5.804243668720055,2767.0,27.771188735961914,98.99952358265841,6804.0,4.598577499389648,0.0,2463.183987260876,0.0,89.02002122373965,23.54233741760254,27.368812561035156,53,53,25.117864711078894,61.85447624774436,0.9077652588029959,2.235434631288195,4.327500040434701,10.656767664853126,63.602293363237806,156.62503916597774,23.197463989257812,27.79604148864746,22,22,0.0,24.979419386933806,0.0,0.9027618137670331,0.0,4.303647608998855,0.0,63.25172852732003,27.115938923389805,0.0
110004,5093,13.943874058863791,15830.0,23.749568939208984,98.99447949526814,40306.0,10.772500038146973,0.0,13758.294272310652,0.0,86.91278756987145,14.420365333557129,23.051883697509766,128,128,60.17838706965635,332.5687203709906,0.38015405603067814,2.100876313145866,4.315758075238953,23.85052525338785,10.707482943579002,59.173634827042754,12.971175193786621,23.743675231933594,51,51,0.0,129.3302131671355,0.0,0.8169943977709128,0.0,9.275056029706704,0.0,23.01160132413711,72.21168166060653,0.0
110001,5377,14.72142368240931,24796.0,21.092782974243164,1.0082150858849888,59308.0,8.675947189331055,16371.476390145948,0.0,66.02466684201464,0.0,22.76045799255371,29.176807403564453,135,135,670.3061809787255,38.360069684620115,2.703283517417025,0.1547026523819169,45.532700874554486,2.60573097495025,76.773286697502,4.393557319333396,21.094829559326172,29.770776748657227,54,54,278.0770521659095,0.0,1.1214593166878106,0.0,18.889277162655464,0.0,31.849459031927335,0.0,0.0,59.26480344314773
