region_code,n_obs,n_years,mean_deaths,dispersion,rr_p1,rr_p1_lower,rr_p1_upper,rr_p1_p,rr_p2.5,rr_p2.5_lower,rr_p2.5_upper,rr_p2.5_p,rr_p5,rr_p5_lower,rr_p5_upper,rr_p5_p,rr_p50,rr_p50_lower,rr_p50_upper,rr_p50_p,rr_p95,rr_p95_lower,rr_p95_upper,rr_p95_p,rr_p97.5,rr_p97.5_lower,rr_p97.5_upper,rr_p97.5_p,rr_p99,rr_p99_lower,rr_p99_upper,rr_p99_p
430009,5458,14.940451745379876,16.031513374862588,1.116342807274854,25.80741007441908,3.0610419358541194,217.58029739745731,0.0028030967645917837,17.575302296697334,2.5996993566619264,118.81806641554047,0.0032837916278136703,12.191622898271653,2.210470993316382,67.24162829690101,0.004098500087243329,1.1652003148721473,0.7037210575001568,1.9293038900968922,0.5523315246924325,10.760678998844574,2.198203812601303,52.675830990916545,0.003367944757934227,39.29530384323037,6.047860411155456,255.3168888097382,0.00012059682422393969,153.84663554367293,14.005646811074723,1689.946033009489,3.8099674401381733e-05
430014,3756,14.885694729637235,1.7193823216187434,0.47414664979556564,39.01539369764344,0.3921560593042307,3881.620363288094,0.11848920329342816,24.50214736274488,0.43691706895022536,1374.071346830489,0.11947720140192253,13.860314192886198,0.4886667159024882,393.12746965123193,0.12345563145124583,1.0461098803972566,0.6394839140515899,1.7112954021490476,0.8575311323561574,4.045758855500975,0.11362166543648006,144.0584826316874,0.44320043541404486,7.3734712485618275,0.0878079395004612,619.1704140043322,0.3767806845221031,17.098012812839116,0.026983303706000692,10834.182698058503,0.3884168737488092
430011,5457,14.940451745379876,8.479384277075317,1.0834645663497406,2.113366248274847,0.23408473363440183,19.079915336652768,0.5050634628264414,1.865090924131072,0.2894511669377907,12.01779281830885,0.5119941444635945,1.6495552317757853,0.35606829243712423,7.641883651180076,0.5222648052756178,1.0325067356776974,0.7721146629405023,1.3807148217595289,0.8291824524595195,29.26502553384442,2.9581523890042867,289.5191345381785,0.0038827542748596233,251.52083401284418,20.50090836745218,3085.850090572296,1.5505462247489277e-05,4375.107057961846,166.17398105571738,115189.88500497853,5.058409735525515e-07
430012,4931,14.924024640657084,2.7051308051105254,0.8043594863187413,13.278813915851325,0.13045979098439942,1351.5804193867843,0.27286694672922396,11.770766247971983,0.1520365726099994,911.300062122579,0.26650966781833874,10.447007333736796,0.16885521125625316,646.3523477846387,0.2649157804112887,3.4366539608879036,0.14758238522877115,80.02710098890613,0.44209947324699983,2.289058774497382,0.4413447661513468,11.872328562533848,0.32409402046471714,5.89254154347213,0.2605560301270788,133.2613404671932,0.26496576496228186,19.182977682548927,0.13018537828719143,2826.635660706723,0.2461943585324069
430017,4435,14.926762491444217,2.1364148816234496,0.6436453295626857,13.06482337975833,0.2206038220744572,773.7382260161817,0.21713781274489197,8.881792500055452,0.2678238581079378,294.5452230108966,0.22150246661656414,6.147000842880033,0.3199877423019895,118.0845837735482,0.22846614557925804,1.0018865949923879,0.9436038185447598,1.063769274242108,0.9508504641614701,14.528162657851574,0.3543284137758014,595.6832757605047,0.15783083304002243,46.618845365461645,0.6467233927513302,3360.5043014803714,0.07835516335776105,168.02187208938665,0.6785029829606366,41608.29091308516,0.06844308321246295
430013,4808,14.926762491444217,2.5730033277870215,0.7739015953804386,1.9685653360786222,0.10990275412125694,35.26071310401132,0.645465418115359,1.692161046945477,0.16737720319957058,17.10752094110125,0.6558637939896679,1.4893744015963877,0.2386711438905226,9.294111018079725,0.6698048191758326,2.9868776211099837,0.8301346285871108,10.74697719654452,0.09393043658246558,2064.0685882680696,25.37004670516576,167929.49522664704,0.0006719395198282463,2360.0523417210766,21.20944007459976,262611.69724765804,0.001235621485699001,2277.4446628334676,9.311397650857344,557032.8308115028,0.005865722432936815
430016,5107,14.937713894592745,3.070295672606227,0.8355260712755975,644.8994983912448,1.5997332547729572,259977.94431316317,0.0345580764853739,467.8604980335498,1.4453561609646717,151446.0252302833,0.03707714577016663,339.38068517968895,1.2700522822996516,90688.58902759735,0.04096846317840663,45.188073087450654,0.3479446646694662,5868.639920938485,0.12482994527969882,13.325515832566257,0.5211490670786769,340.726643145207,0.11736725354132238,4.3810023657830985,0.6807785088002467,28.1929900560782,0.11989855447577935,0.9999990998244034,0.9999979622576062,1.0000002373924946,0.1209066832412824
430015,5272,14.934976043805612,3.604514415781487,0.929699707245737,1.000000025075303,0.9999999790922695,1.0000000710583385,0.2851507126990809,1.2671449204006944,0.8208497570623496,1.9560903021322578,0.285150712699082,1.6233207513830783,0.6676753393517249,3.9467838731763316,0.2851507126990813,8.937909053391747,0.19691745961236667,405.6837743283849,0.26049908623600704,44.160515354620784,0.24827420019762675,7854.827907343469,0.1518743541844283,113.85727834753705,0.48631100112385295,26656.768616688172,0.08893995030559432,452.22891244392355,0.8390673790063473,243736.07455983196,0.05673831684145614
430018,5208,14.934976043805612,3.487327188940092,0.8899749801114741,31.79647440722648,1.360885953749071,742.910000609666,0.031424550845902566,17.32622985911639,1.2330433359131638,243.46122507415066,0.03439876592872082,9.062107343749247,1.10798603315136,74.11807283893397,0.03981754009939387,1.3944591640555373,0.8055952220895368,2.4137635215546838,0.23491917427401,102.67730422233261,4.580712138530312,2301.526156530754,0.0035093990004995135,129.26980475539528,4.253939782270977,3928.283726803715,0.0052512356422340645,151.8850594281969,1.6198002490278869,14241.923528133579,0.030144903378455545
430019,4976,14.929500342231348,2.739549839228296,0.784227895331368,49.111216138590244,0.8823331915000806,2733.560942562713,0.05757062559418569,32.399396504612575,0.8285312939635814,1266.9658967754606,0.06296480318768816,22.752440097238686,0.7366675523598998,702.7234044991909,0.07420040880884926,2.3907815889820756,0.20911410421745336,27.33357765419725,0.48320249493629963,9.14864089218188,1.5737485246659157,53.183611525145224,0.013703299701598226,59.3322741251385,2.4234395711085064,1452.6125573043885,0.012331179867429709,723.1377059807626,3.8802435471640306,134766.83498212745,0.01357333388761539
