region_code,n_obs,n_years,mean_deaths,dispersion,rr_p1,rr_p1_lower,rr_p1_upper,rr_p1_p,rr_p5,rr_p5_lower,rr_p5_upper,rr_p5_p,rr_p50,rr_p50_lower,rr_p50_upper,rr_p50_p,rr_p95,rr_p95_lower,rr_p95_upper,rr_p95_p,rr_p99,rr_p99_lower,rr_p99_upper,rr_p99_p
2101,5093,14.940451745379876,24.464559198900453,1.5431666905136219,0.9999991755599641,0.9999979175143596,1.0000004336071513,0.198983404957624,1.6232714418074572,0.7750802192034087,3.399661233124749,0.19898340495762423,3.7869789530068223,0.3381316048381582,42.41310006315695,0.28001047261428935,3.0679883837965423,0.1740379102414246,54.08334718598649,0.4438498649243505,27.146203698616294,0.3973845250858669,1854.4163869681033,0.12557373738872468
2102,5091,14.937713894592745,10.187978786093106,1.190032935503448,2.5849311545501354,0.23200445827252766,28.800606348326866,0.4400281290917687,1.808930143432244,0.3606083880362342,9.074187879093385,0.4712887107903323,1.1721313790044252,0.7475336076611862,1.8378999359578245,0.48889104072206147,102.02249451580326,3.2359235934781303,3216.5745224037987,0.008614720660376829,156.1111286390298,2.066472622729202,11793.373992424458,0.022081798177979506
2103,5081,14.940451745379876,6.929344617201338,1.11787180167193,2.792020627396848,0.20090772736158996,38.80079321080325,0.444446005470037,1.8923290301008548,0.3262563261040209,10.975753944525001,0.476995582253253,1.1344254425728213,0.7370144508264519,1.746127342976045,0.5665073185039322,608.1080012194758,13.848530468465192,26702.8578945048,0.0008938223627594777,669.1966556109552,4.736250359933689,94552.4686932211,0.01000342275663435
2104,4957,14.940451745379876,4.180754488601977,0.960997801445047,1.0000000828671392,0.9999999760973693,1.0000001896369206,0.12820632620186867,2.215109910305404,0.7950096039245813,6.171890113667972,0.12820632620186956,17.748524521582137,0.48985342272323446,643.0701676880639,0.11632901815730623,64.21345298883661,0.42099869963047704,9794.252448686248,0.1046503543120707,368.28305680295483,0.4103194235794473,330553.2278850721,0.08852652961340568
2105,5093,14.940451745379876,10.532495582171608,1.1009529833755565,1.4058120694469107,0.15294628273484176,12.921579650476822,0.7634480920705651,1.2316312363759454,0.28598350763225605,5.304206228449823,0.7797400010290072,1.0239041082235707,0.7809787233875564,1.3423920414754413,0.8642560855338384,14.846761346505252,0.9558814987753583,230.600051117722,0.05388528504954415,77.81554605044796,1.9150632600498663,3161.910801302571,0.021235797802690914
2201,5093,14.940451745379876,17.3585313174946,1.1555152479401667,1.0749785987965286,0.23971872641696162,4.820562019258179,0.9247629356548113,1.0391935495656057,0.4314698271521816,2.502893981223555,0.9316853402202345,1.127898053000585,0.5559203070722699,2.288374793614312,0.738809485660634,9.397684523448747,0.8438856971583839,104.65454586996333,0.06845996571014545,16.291662409153876,0.5489223660564593,483.52605116210185,0.10668799144721586
2202,5086,14.940451745379876,6.989972473456548,1.0675948862300328,1.8169111095644916,0.03235869901001279,102.01788332211343,0.7713856612408598,1.7274333500714119,0.0626332575783728,47.6428353611504,0.7466984262901002,1.3474790566972807,0.14483883074126874,12.536001560805536,0.7932575544964535,1.6780416003201437,0.4019358669748614,7.005653995494514,0.4777493936574566,6.678588993777435,0.057946051819107225,769.7427097715992,0.4330287468796419
2203,5062,14.940451745379876,5.747530620308178,1.021903429883451,1.0000002259219702,0.9999995890287735,1.0000008628155725,0.48689178017650514,1.330428886076286,0.5949063044684721,2.9753273878777553,0.4868917801765045,3.6295388286026062,0.2111008107544504,62.4040810703341,0.37440674882494385,334.9672125578934,7.257084789231775,15461.17163400024,0.0029420164348405997,804.3658486427796,3.536420381371397,182954.6119208587,0.01568395381149079
2204,3963,14.921286789869953,2.0073176886197324,0.5784088595307771,1.000000530305066,0.9999998672446684,1.0000011933659037,0.11698001302561467,2.5500811651395767,0.7910868885630523,8.220227187195148,0.11698001302561467,36.58523897488966,0.6333081506070395,2113.473053468243,0.08198492980143968,1921.546267274421,10.955948332110129,337016.92864456144,0.004129817759734866,4135.695512992776,2.07171158099078,8255964.552753397,0.03172424738562185
2205,4001,14.913073237508556,2.0302424393901526,0.5904963756227865,2.1288162745178116,0.015633085460862308,289.8889500730665,0.7631326952713127,5.374251879077665,0.05622979324657764,513.6526668898558,0.46979493994023436,56.4324099718149,0.703178843775128,4528.886105460557,0.07145011587458283,1.555232370771712,0.2598157822910116,9.30947191032081,0.6285795228586861,10.980126825963577,0.02135332217047429,5646.109029392638,0.45187103058669775
2206,4733,14.934976043805612,2.956264525670822,0.8262486690080548,3.366316334769087,0.03798985228015309,298.29243825866,0.5957362558943422,2.6627099515175114,0.06254761119163833,113.35403784146784,0.6088534335089708,1.438679363269515,0.08476801652509791,24.41720822481149,0.8012189452715708,3.153690505850677,0.14751604671408866,67.42157228473788,0.46227070802235426,11.140570316665514,0.0226419356522103,5481.523703935303,0.44591829686054796
2301,5093,14.940451745379876,51.038484193991756,2.22190423254748,1.1908295389841173,0.2808718721928802,5.048832337128104,0.8126749513918932,1.0999892759152872,0.4644399499743771,2.6052375709613087,0.8284918407339097,1.0927793544876068,0.7505221466600747,1.5911145632524692,0.6434679080697232,4.421750111961963,0.7861592863465093,24.870117789358403,0.0916101426065068,3.3852415654919117,0.20194017930716046,56.74878816118684,0.39655961655211325
2302,5093,14.940451745379876,10.690752012566268,1.0406291144734792,2.441583961462166,0.25680789763383144,23.21319669603474,0.437230384481198,1.6244690508222188,0.43184225452038594,6.110795480192331,0.4728997612859107,1.322336272958056,0.8346001084828378,2.095103033187011,0.23406092228192543,28.143647216359124,2.7828235757429507,284.62633619431494,0.004699389014293898,16.087797009761015,0.3830492919345629,675.6759980422828,0.14517253619108295
2303,5072,14.940451745379876,6.195583596214511,1.0218678459690729,2.758176073058044,0.09739003937168808,78.1140997484949,0.5520206350890773,1.9705722128225853,0.18482345436579964,21.010076125203362,0.5742767159210334,1.0001217347697364,0.9897730739700586,1.0105785969169383,0.9816996957030615,7.5215158663482935,0.3219612348134448,175.71432461584868,0.20945520832899867,10.490419396281391,0.10933128133988608,1006.5637003536053,0.31276486322098895
