method,level,heat_deaths,cold_deaths,heat_yll,cold_yll,total_yll,yll_per_death
actual,intermediate,307915.0003790146,122463.00266871203,3520548.286971601,1400181.5882046781,4920729.875176279,11.43350691794208
actual,immediate,315738.1792548973,173674.76938466783,3609994.6567693045,1985711.677231595,5595706.334000899,11.43350691794208
