region_code,n_days,n_years,total_deaths,mmt,mmt_percentile,mean_pop,temp_range,total_heat_an,total_cold_an,total_heat_af_pct,total_cold_af_pct,p2_5,p97_5,n_heat_days_97_5,n_cold_days_2_5,heat_an_97_5,cold_an_2_5,heat_af_pct_97_5,cold_af_pct_2_5,heat_annual_97_5,cold_annual_2_5,heat_rate_per_100k_97_5,cold_rate_per_100k_2_5,p1,p99,n_heat_days_99,n_cold_days_1,heat_an_99,cold_an_1,heat_af_pct_99,cold_af_pct_1,heat_annual_99,cold_annual_1,heat_rate_per_100k_99,cold_rate_per_100k_1,protective_heat_deaths,protective_cold_deaths
3107,5113,13.998631074606434,55052.0,19.73129653930664,45.384917517674786,145694.0,11.203329086303711,10842.45357113531,8828.493185137704,19.694931285212725,16.0366438733156,14.380919456481934,24.18408966064453,128,128,989.7856184701538,1304.8383835295892,1.7979103728659338,2.370192515312049,70.70588639667977,93.21185597187218,48.53040372059232,63.9778274821696,13.507213592529297,24.710542678833008,52,52,408.1150617440371,559.3825972261711,0.7413264944852814,1.0160985926508956,29.15392652102671,39.95980708720106,20.01038239119436,27.42721531923144,0.0,0.0004770394283384283
3108,5114,14.001368925393566,120199.0,20.13489532470703,33.43805222854898,307841.0,11.877609252929688,40514.84599482728,10761.966394834872,33.70647509116322,8.953457511988345,15.806822776794434,25.54628562927246,128,128,3529.71865112656,2304.0347349138137,2.9365624099423124,1.9168501692308701,252.09811054438327,164.55781910975176,81.89231146740794,53.45545886017514,14.619163513183594,26.49677276611328,52,52,1603.6080763626003,1025.365091619686,1.3341276353069496,0.8530562580551302,114.5322350198357,73.23320291632584,37.20499706661416,23.78929477110776,0.0004615150472313331,0.0
3109,5114,14.001368925393566,96523.0,18.701927185058594,37.895150206165326,252706.0,12.115592956542969,21645.046702236134,9988.948032532846,22.42475544920499,10.348774937095662,13.605910301208496,23.806833267211914,128,128,1750.510891666743,1936.003398456804,1.8135686744783552,2.005743085541067,125.02426734088344,138.2724367004982,49.47419821487556,54.71672089325074,12.338554382324219,24.454147338867188,52,52,732.6897601958249,869.0401633109093,0.7590830788473472,0.900345164687079,52.32986603666895,62.06822832407306,20.707805131919685,24.56143832124012,0.12452181843954611,0.0
3110,5114,14.001368925393566,52466.0,16.096105575561523,1.0013744354997054,132599.0,12.847064971923828,30770.49407165602,0.0,58.64844674962074,0.0,18.150890350341797,27.83969497680664,128,128,1850.7821156370796,72.98268272065809,3.527583798340029,0.13910472062032192,132.1857973673139,5.21253908168173,99.68838178818385,3.9310545944401767,16.1180477142334,28.965112686157227,52,52,824.9981697090348,0.003559841080206241,1.5724434294762983,6.7850438001872475e-06,58.92267921122897,0.0002542495022575928,44.43674478029923,0.0001917431521034041,0.0,67.15329563527231
3111,5114,14.001368925393566,73508.0,17.188610076904297,1.0013744354997054,197357.0,12.377599716186523,35474.83475473927,0.0,48.25982852851291,0.0,19.09217071533203,28.58652687072754,128,128,2470.594927535194,70.76175443069815,3.360987821101369,0.09626401810782248,176.45381253074495,5.053916856826848,89.40843878390174,2.5607993923837755,17.19129180908203,29.568891525268555,52,52,1119.8374480711948,0.004208241971391128,1.5234225500233918,5.724876165031191e-06,79.98056861713022,0.00030055932343578596,40.52583319422681,0.00015229220318295573,0.0,92.92100195522033
3112,5113,13.998631074606434,45929.0,22.51125144958496,33.091123330714844,132862.0,10.258438110351562,14222.93807827197,2753.865796079348,30.96722784792173,5.995919345248859,19.216224670410156,27.91002655029297,128,128,1359.6344971060635,695.5809760615075,2.960296320638515,1.5144701083444174,97.12624683512412,49.68921406345895,73.10310460110802,37.3991164241536,18.575607299804688,28.83404541015625,52,52,579.4383881977353,344.7803864782492,1.2615959158652166,0.7506812394745133,41.39250367479421,24.62957875243116,31.154508945217,18.53771488644696,0.0,0.05134737407180018
3113,5114,14.001368925393566,82822.0,16.485286712646484,1.0013744354997054,232639.0,11.22507095336914,64932.45548216285,0.0,78.40000903402822,0.0,17.361797332763672,26.782907485961914,128,128,2466.22908702634,209.10569497848223,2.9777463560724686,0.2524760268750842,176.1419972695289,14.934660753009512,75.71473281329824,6.419672003838355,16.488420486450195,27.713491439819336,52,52,1129.9764033704753,0.016980101431948436,1.3643432944996199,2.0501921508715603e-05,80.70470890321981,0.0012127458052442642,34.690962780625696,0.0005212994404395927,0.0,305.6249120192904
3201,5114,14.001368925393566,117680.0,25.784517288208008,78.24464951894757,353825.0,7.174568176269531,9664.07685823373,31686.67872689172,8.212165923040219,26.92613759933015,20.711347579956055,27.08366584777832,128,128,2768.9112944265107,2111.0663936239753,2.352915783843058,1.7939041414207813,197.76004112031347,150.77571378004635,55.89204864560544,42.61307532821206,20.20419692993164,27.378765106201172,52,52,1210.3053615222223,879.0844884560158,1.0284715852500188,0.7470126516451527,86.44193064059282,62.78560997429796,24.430701799079436,17.744820172203198,0.009367028035723788,0.0
3202,5083,13.91649555099247,29708.0,23.67601776123047,28.664559462662982,86995.0,6.356830596923828,13647.654919711871,1695.9765998834437,45.9393258371882,5.708821192552321,21.764385223388672,27.330392837524414,128,128,676.1837573717593,415.026248784284,2.2760998969023807,1.3970184757785242,48.58865185521052,29.822612112622416,55.85223501949597,34.28083466017865,21.301240921020508,27.658071517944336,51,51,231.1050810913003,180.56500940130076,0.7779220448744456,0.6077992776400322,16.60655732217144,12.974890750309877,19.089093996403747,14.914524685682943,13.074195949752957,0.0
3203,5106,13.979466119096509,29158.0,26.372299194335938,82.30088495575221,79502.0,9.710609436035156,2467.0487610429936,6724.160153309636,8.460967010916365,23.061115828622114,19.509933471679688,28.042118072509766,128,128,784.7594632637172,269.6039186004248,2.6914036054040644,0.9246310398532985,56.1365832270021,19.285709218332382,70.61027801439221,24.258143465991274,18.825180053710938,28.535789489746094,52,52,308.6895186860474,98.05823878806643,1.0586786428631847,0.33629960487024635,22.081638601660558,7.014448044916033,27.774947299012048,8.822983126105045,0.0,0.16658031778038948
