region_code,exposure_type,failed_analyses,n_failures,total_deaths,mean_daily_deaths,std_deaths
110004,immediate,dlnm_first_stage,1,25446,4.706121694100241,2.454093026114187
120002,immediate,dlnm_first_stage,1,4972,1.5440993788819877,0.8413693715881555
310053,immediate,dlnm_first_stage,1,22918,4.259059654339342,2.0885094933204815
410003,immediate,dlnm_first_stage,1,18631,3.5514677849790317,1.885249738714299
410004,immediate,dlnm_first_stage,1,36876,6.742731760833791,2.8876494437648708
410010,immediate,dlnm_first_stage,1,27176,5.016798966217464,2.4768302728549494
410029,immediate,dlnm_first_stage,1,16261,3.1531898390537134,1.7237997717409725
420003,immediate,dlnm_first_stage,1,34174,6.258974358974359,2.7946711603296266
420005,immediate,dlnm_first_stage,1,33744,6.187018701870187,2.812211748958091
420006,immediate,dlnm_first_stage,1,8183,1.9432438850629303,1.0999282300631228
420008,immediate,dlnm_first_stage,1,17105,3.2932229495571814,1.7675652232309804
420014,immediate,dlnm_first_stage,1,9873,2.1775474194971327,1.2683312231503614
420015,immediate,dlnm_first_stage,1,11898,2.4577566618467257,1.4122845946591283
420017,immediate,dlnm_first_stage,1,25922,4.783539398412992,2.305845514191126
430039,immediate,dlnm_first_stage,1,11831,2.4678765123070505,1.3884228920031707
1201,intermediate,dlnm_first_stage,1,44638,8.151570489408327,3.560365188128682
4202,intermediate,dlnm_first_stage,1,93529,17.070450812192007,5.542210917993648
4203,intermediate,dlnm_first_stage,1,41927,7.6634984463535005,3.2039595201717015
4205,intermediate,dlnm_first_stage,1,21771,4.081552305961755,2.120835215527298
