region_code,first_treatment_date,total_households_electrified,n_treated_municipalities,first_treatment_year,log_households,treatment_cohort
350011.0,2004-12-01,733,8,2004,6.598509028614515,2004
350012.0,2005-02-01,284,8,2005,5.652489180268651,2005
350013.0,2005-02-01,555,17,2005,6.320768294250582,2005
350014.0,2005-04-01,404,10,2005,6.003887067106539,2005
350015.0,2005-03-01,496,11,2005,6.208590026096629,2005
350016.0,2005-03-01,122,7,2005,4.812184355372417,2005
350017.0,2004-12-01,379,5,2004,5.940171252720432,2004
350018.0,2004-12-01,2281,28,2004,7.732807530422021,2004
350019.0,2004-11-01,121,10,2004,4.804021044733257,2004
350020.0,2004-12-01,245,12,2004,5.5053315359323625,2004
350021.0,2005-02-01,514,5,2005,6.244166900663736,2005
350022.0,2004-11-01,819,13,2004,6.709304340258298,2004
350023.0,2005-01-01,298,16,2005,5.700443573390687,2005
350024.0,2004-11-01,2376,11,2004,7.773594467360194,2004
350025.0,2005-01-01,707,35,2005,6.56244409369372,2005
350026.0,2005-02-01,185,15,2005,5.225746673713202,2005
350027.0,2005-02-01,649,12,2005,6.476972362889683,2005
350028.0,2005-04-01,649,18,2005,6.476972362889683,2005
350029.0,2005-04-01,330,11,2005,5.802118375377063,2005
350030.0,2005-04-01,169,7,2005,5.135798437050262,2005
350031.0,2004-12-01,909,23,2004,6.813444599510896,2004
350032.0,2004-12-01,256,14,2004,5.54907608489522,2004
350033.0,2005-03-01,522,9,2005,6.259581464064923,2005
350034.0,2010-12-01,5,3,2010,1.791759469228055,2010
350035.0,2005-05-01,84,5,2005,4.442651256490317,2005
350036.0,2005-01-01,333,13,2005,5.811140992976701,2005
350037.0,2005-01-01,289,9,2005,5.66988092298052,2005
350038.0,2004-12-01,1244,13,2004,7.126890808898808,2004
350039.0,2004-10-01,973,8,2004,6.881411303642535,2004
350040.0,2005-02-01,320,8,2005,5.771441123130016,2005
350041.0,2004-10-01,4230,11,2004,8.350193650720067,2004
350042.0,2004-11-01,394,4,2004,5.978885764901122,2004
350043.0,2005-01-01,56,2,2005,4.04305126783455,2005
350044.0,2004-11-01,405,9,2004,6.0063531596017325,2004
350045.0,2005-01-01,178,4,2005,5.187385805840755,2005
350046.0,2004-11-01,258,5,2004,5.556828061699537,2004
350047.0,2005-08-01,714,7,2005,6.5722825426940075,2005
350048.0,2005-05-01,59,5,2005,4.0943445622221,2005
350049.0,2004-07-01,4879,8,2004,8.492900498847193,2004
350050.0,2004-07-01,3665,9,2004,8.20685642839965,2004
350051.0,2005-06-01,1106,4,2005,7.009408932708637,2005
350052.0,2004-07-01,2641,8,2004,7.879291485082271,2004
350053.0,2004-07-01,1705,9,2004,7.441906728051625,2004
410001.0,2004-11-01,9361,29,2004,9.144414221860016,2004
410002.0,2004-07-01,826,7,2004,6.717804695023691,2004
410003.0,2004-12-01,5049,9,2004,8.527143522269405,2004
410004.0,2004-09-01,11942,12,2004,9.387900611668426,2004
410005.0,2004-10-01,5446,7,2004,8.602820277383675,2004
410006.0,2004-11-01,2273,23,2004,7.729295674310482,2004
410007.0,2004-11-01,889,7,2004,6.7912214627261855,2004
410008.0,2004-12-01,575,14,2004,6.3561076606958915,2004
410009.0,2004-12-01,2965,21,2004,7.994969522697877,2004
410010.0,2004-12-01,2744,15,2004,7.917536353943631,2004
410011.0,2004-12-01,3149,8,2004,8.055157731819678,2004
410012.0,2004-12-01,954,6,2004,6.86171134048073,2004
410013.0,2005-05-01,77,6,2005,4.356708826689592,2005
410014.0,2004-11-01,348,21,2004,5.855071922202427,2004
410015.0,2004-12-01,1324,24,2004,7.1891677384203225,2004
410016.0,2005-08-01,268,21,2005,5.594711379601839,2005
410017.0,2004-12-01,341,16,2004,5.834810737062605,2004
410018.0,2004-12-01,171,11,2004,5.147494476813453,2004
410019.0,2004-12-01,106,9,2004,4.672828834461906,2004
410020.0,2005-09-01,146,7,2005,4.990432586778736,2005
410021.0,2004-12-01,1731,21,2004,7.4570320891223805,2004
410022.0,2004-12-01,2262,19,2004,7.724446645633537,2004
410023.0,2005-05-01,314,12,2005,5.752572638825633,2005
410024.0,2004-12-01,1460,18,2004,7.2868764117507,2004
410025.0,2004-12-01,2614,14,2004,7.869019376499023,2004
410026.0,2004-12-01,517,6,2004,6.249975242259483,2004
410027.0,2004-11-01,6960,12,2004,8.848078421168667,2004
410028.0,2004-12-01,4561,7,2004,8.425516402844334,2004
410029.0,2004-12-01,3826,7,2004,8.249836485425702,2004
420001.0,2004-09-01,857,16,2004,6.754604099487962,2004
420002.0,2004-11-01,9,2,2004,2.302585092994046,2004
420003.0,2004-10-01,792,8,2004,6.675823221634848,2004
420004.0,2005-03-01,121,7,2005,4.804021044733257,2005
420005.0,2004-09-01,3805,18,2004,8.244334047856094,2004
420006.0,2005-01-01,558,5,2005,6.326149473155099,2005
420007.0,2004-09-01,2211,32,2004,7.701652362642226,2004
420008.0,2004-09-01,1550,18,2004,7.346655163176539,2004
420009.0,2004-09-01,2530,20,2004,7.836369760545124,2004
420010.0,2004-10-01,1859,12,2004,7.528331766707247,2004
420011.0,2004-09-01,1705,13,2004,7.441906728051625,2004
420012.0,2004-09-01,773,8,2004,6.651571873589727,2004
420013.0,2004-10-01,417,6,2004,6.035481432524756,2004
420014.0,2004-08-01,868,6,2004,6.767343125265392,2004
420015.0,2004-09-01,421,10,2004,6.045005314036012,2004
420016.0,2004-08-01,974,12,2004,6.882437470997847,2004
420017.0,2004-09-01,3707,10,2004,8.218247926685745,2004
420018.0,2004-10-01,615,3,2004,6.423246963533519,2004
420019.0,2004-08-01,463,12,2004,6.139884552226255,2004
420020.0,2004-09-01,842,10,2004,6.736966958001855,2004
420021.0,2004-12-01,110,7,2004,4.709530201312334,2004
420022.0,2004-07-01,1647,17,2004,7.4073177104694174,2004
420023.0,2004-12-01,423,6,2004,6.049733455231958,2004
420024.0,2004-09-01,647,6,2004,6.473890696352274,2004
430001.0,2004-06-01,6540,21,2004,8.785845337961213,2004
430002.0,2004-06-01,1761,21,2004,7.474204806496124,2004
430003.0,2004-07-01,1366,9,2004,7.220373836723949,2004
430004.0,2004-08-01,753,6,2004,6.625392368007956,2004
430005.0,2004-06-01,3954,9,2004,8.282735880201754,2004
430006.0,2004-07-01,1879,6,2004,7.539027055823995,2004
430007.0,2004-08-01,901,6,2004,6.804614520062624,2004
430008.0,2004-07-01,1089,7,2004,6.993932975223189,2004
430009.0,2004-06-01,11803,16,2004,9.376193736062831,2004
430010.0,2004-08-01,2601,6,2004,7.86403565907245,2004
430011.0,2004-06-01,5275,24,2004,8.570923513837204,2004
430012.0,2004-07-01,4157,6,2004,8.332789468417959,2004
430013.0,2004-08-01,747,4,2004,6.617402977974478,2004
430014.0,2004-06-01,1352,5,2004,7.210079628170788,2004
430015.0,2004-06-01,1368,4,2004,7.221835825288449,2004
430016.0,2004-09-01,2581,3,2004,7.856319571406588,2004
430017.0,2004-07-01,444,2,2004,6.09807428216624,2004
