region_code,first_treatment_date,total_households_electrified,n_treated_municipalities,first_treatment_year,log_households,treatment_cohort
1101.0,2004-11-01,44567,18,2004,10.704771391700652,2004
1102.0,2004-11-01,36848,34,2004,10.514583760207204,2004
1201.0,2004-12-01,40603,14,2004,10.611621862904322,2004
1202.0,2005-06-01,18257,8,2005,9.812358619125026,2005
1301.0,2004-12-01,71445,21,2004,11.176697198585856,2004
1302.0,2005-07-01,25572,21,2005,10.149292386393418,2005
1303.0,2005-05-01,19997,9,2005,9.903387547535795,2005
1304.0,2005-05-01,34166,11,2005,10.43901554494246,2005
1401.0,2004-12-01,16201,9,2004,9.692889970390437,2004
1402.0,2010-12-01,6230,6,2010,8.737292112544221,2010
1501.0,2004-12-01,107496,22,2004,11.585218219183703,2004
1502.0,2004-11-01,97316,39,2004,11.485728970281757,2004
1503.0,2005-01-01,71869,22,2005,11.182614210462487,2005
1504.0,2004-12-01,36086,15,2004,10.493687968662183,2004
1505.0,2004-12-01,73339,18,2004,11.202861441625316,2004
1506.0,2005-05-01,35783,9,2005,10.485256145112684,2005
1507.0,2005-02-01,56827,15,2005,10.947784440991967,2005
1601.0,2007-07-01,9300,6,2007,9.137877200242468,2007
1602.0,2007-09-01,5482,10,2007,8.609407675404048,2007
1701.0,2004-10-01,27499,42,2004,10.221941283654663,2004
1702.0,2004-12-01,37451,63,2004,10.53081539205878,2004
1703.0,2004-12-01,15769,31,2004,9.665864679957084,2004
2101.0,2004-12-01,146718,73,2004,11.896274471763684,2004
2102.0,2004-12-01,61185,59,2004,11.021673684161343,2004
2103.0,2004-12-01,44390,14,2004,10.700792025170644,2004
