region_code,n_days,n_years,total_deaths,pop_elderly,heat_an,cold_an,yll_heat,yll_cold,yll_total,annual_yll_heat,annual_yll_cold,annual_yll_total,yll_rate_heat,yll_rate_cold,yll_rate_total
110001,5377,14.7214236824093,24796,59308,891.979311836078,26.9285839246843,11427.460534309,344.991555253369,11772.4520895624,776.24697045869,23.4346597649792,799.681630223669,1308.84024155036,39.5134885091037,1348.35373005947
110002,4114,11.2635181382615,8203,22014,272.648942626402,5.40422478452318,3493.00145220955,69.2354235397587,3562.23687574931,310.116378322687,6.14687371120486,316.263252033892,1408.72344109515,27.9225661452024,1436.64600724036
110003,3174,8.68993839835729,4988,14391,181.065454969557,1.41240309907214,2319.69319617087,18.0947926246845,2337.78798879555,266.940119691685,2.08226937812414,269.02238906981,1854.91015003603,14.4692472943099,1869.37939733034
110004,5093,13.9438740588638,15830,40306,0.0211489152163984,1071.15556835088,0.270946187621058,13722.9505449388,13723.2214911264,0.0194311987097176,984.156231403671,984.17566260238,0.0482091964216681,2441.711485644,2441.75969484042
110005,5101,13.9657768651609,15868,40903,355.965088832069,26.0441221610262,4560.39389057919,333.660404671521,4894.05429525071,326.540652525788,23.8912885328901,350.431941058678,798.329346321266,58.4096240688705,856.738970390137
110006,3949,10.8117727583847,7310,19124,172.093779081115,38.110890623812,2204.75390242117,488.252017453758,2693.00591987492,203.921591000083,45.1592933337515,249.080884333835,1066.31243986657,236.139371123988,1302.45181099056
120001,5303,14.5188227241615,20377,48069,692.132401886347,50.0292165888104,8867.15151587089,640.941881212705,9508.09339708359,610.734884248887,44.145582144624,654.880466393511,1270.53794389084,91.8379457542782,1362.37588964512
120002,2180,5.96851471594798,2858,7060,0,395.536348226892,0,5067.35520574291,5067.35520574291,0,849.014444448439,849.014444448439,0,12025.7003462952,12025.7003462952
120003,1569,4.29568788501027,1902,4872,38.2942625172207,5.02110870914271,490.601259243588,64.3271888157293,554.928448059318,114.207845722575,14.9748283715393,129.182674094114,2344.16760514317,307.365114358359,2651.53271950153
120004,3130,8.56947296372348,4729,12146,5.86842728455512,27.6031166976243,75.1824849554807,353.633231735757,428.815716691237,8.77329157507646,41.2666255244361,50.0399170995126,72.2319411746786,339.754861884045,411.986803058724
120005,1841,5.0403832991102,2284,6269,28.9967668241873,4.1184068931378,371.487773437123,52.7623585110766,424.2501319482,73.7022863921288,10.4679258262741,84.170212218403,1175.66256806714,166.979196463138,1342.64176453028
130001,5479,15.0006844626968,101273,229147,5429.51952165176,0.617581957822624,69559.4833093374,7.91205956917564,69567.3953689066,4637.0872930709,0.52744657011159,4637.61473964101,2023.62993758195,0.230178256800914,2023.86011583875
130002,2120,5.80424366872006,2767,6804,22.162309887977,0.554591717627195,283.929143011925,7.10506945816262,291.034212470087,48.9175091910875,1.22411632999712,50.1416255210846,718.952222091233,17.9911277189465,736.943349810179
130003,2738,7.49623545516769,3982,10307,153.442300755269,0.247268197697556,1965.80325676505,3.16783980646608,1968.97109657152,262.238728828866,0.422590755774921,262.661319584641,2544.27795506808,4.10003643906977,2548.37799150714
130004,3062,8.3832991101985,4789,12401,193.366803742518,0.146922417337615,2477.29009977217,1.88227473827266,2479.17237451044,295.503007492418,0.224526730291994,295.72753422271,2382.89660101941,1.81055342546564,2384.70715444488
130005,3193,8.7419575633128,5082,14593,76.334968162891,0.616924001707482,977.954112269234,7.90363026208373,985.857742531317,111.869007048649,0.904103023246503,112.773110071896,766.593620562252,6.19545688512645,772.789077447378
130006,3068,8.39972621492129,4682,14048,63.8600347813105,1.09289630983827,818.133355224205,14.0014788269708,832.134834051176,97.4000026061411,1.66689704744168,99.0668996535828,693.337148392234,11.8657249960256,705.20287338826
130007,1841,5.0403832991102,2283,6569,45.4595569676014,1.33784261658453,582.398365366916,17.1395720722119,599.537937439128,115.546443753539,3.40045013545649,118.946893888996,1758.96550089115,51.7651109066295,1810.73061179777
130008,2607,7.13757700205339,3590,11235,110.892378243286,1.41999476520397,1420.68124127491,18.1920521283075,1438.87329340322,199.042509925455,2.54877140002467,201.59128132548,1771.62892679533,22.68599376969,1794.31492056502
130009,2884,7.89596167008898,4189,13467,195.376534872764,0.272896204991258,2503.03747179157,3.49616921728943,2506.53364100886,317.002231821038,0.44277940589978,317.445011226937,2353.91870365365,3.28788450211465,2357.20658815577
130010,4169,11.4140999315537,8245,21538,464.356512735748,0.0348620467796018,5949.03452661278,0.446629936852557,5949.48115654963,521.200494326055,0.0391296676506109,521.239623993705,2419.91129318439,0.181677350035337,2420.09297053443
130011,3524,9.64818617385352,5893,16873,298.016710075793,0.141010074009316,3817.99683890157,1.80652962944233,3819.80336853101,395.721721171623,0.187240336876791,395.9089615085,2345.29556789915,1.10970388713798,2346.40527178628
140001,4938,13.5195071868583,14764,38526,75.1235585231117,16.3977075774355,962.434317509685,210.076796297626,1172.51111380731,71.1885651013392,15.5387909776646,86.7273560790038,184.780577016402,40.3332580015175,225.11383501792
140002,1019,2.78986995208761,1141,3451,7.53967322158247,0.318410612981082,96.5934041719727,4.07927029838462,100.672674470357,34.6229056661561,1.46217220459763,36.0850778707537,1003.27167969157,42.3695220109425,1045.64120170251
140003,1251,3.42505133470226,1465,5393,37.5788923643932,0.0839398380712314,481.436400731308,1.0753827741148,482.511783505423,140.563265681143,0.313975666063492,140.877241347207,2606.40210793887,5.82191110816785,2612.22401904704
140004,794,2.17385352498289,878,3090,37.2383509365629,0.0182057729000092,477.073604783925,0.233240556760448,477.306845340686,219.459866684293,0.107293593648304,219.567160277941,7102.2610577441,3.47228458408752,7105.73334232819
