metric,mean,ci_lo,ci_hi,annual_mean,annual_ci_lo,annual_ci_hi,af_mean,af_ci_lo,af_ci_hi
heat_total,231283.70338477,190720.790010996,271051.401604883,18711.0620307654,15429.4854338074,21928.3049982882,1.69095316076819,1.39439103565711,1.98170133721841
cold_total,471211.182681016,406734.697678635,531771.553032414,38121.4133970643,32905.207098265,43020.8024576328,3.44510238759974,2.97370421075276,3.88786920672415
total,702494.886065786,636405.725152682,763108.526152071,56832.4754278296,51485.8021806053,61736.1740584165,5.13605554836793,4.65286683293728,5.57921183127756
heat_p99,36942.3690043791,34471.1485668289,39533.7901636912,2988.67126342408,2788.74728165624,3198.3195929437,0.270091730286316,0.252024231588067,0.289038036213156
cold_p1,31423.671530683,28145.6498385345,34451.7881358505,2542.20361677123,2277.00867946107,2787.18100517554,0.229743626205048,0.205777470958114,0.251882684295813
heat_p97_5,69164.1911529625,64074.4431136242,74481.1117142079,5595.44599135822,5183.68074421243,6025.5897022128,0.505670766813649,0.468458782533396,0.544543646731324
cold_p2_5,78263.8856870855,71273.6469381851,85121.7079335792,6331.61955826853,5766.10288361143,6886.42361740553,0.572200128845274,0.521093344692336,0.622338794189987
