region_code,n_days,n_years,total_deaths,pop_elderly,heat_an,cold_an,yll_heat,yll_cold,yll_total,annual_yll_heat,annual_yll_cold,annual_yll_total,yll_rate_heat,yll_rate_cold,yll_rate_total
1101,5464,14.9596167008898,37987,95713,1567.01729473542,46.9231591645989,20075.6094390893,601.149087633881,20676.7585267232,1341.98688646181,40.1847921409727,1382.17167860279,1402.09468563499,41.9846751653096,1444.0793608003
1102,5474,14.9869952087611,39008,100333,3.34258132480688,2523.34738573531,42.822984418016,32327.4904274252,32370.3134118432,2.85734290439905,2157.03614881569,2159.89349172009,2.84785953215696,2149.87705821184,2152.724917744
1201,5386,14.7460643394935,25137,60001,0,4622.07482030283,0,59215.0253876524,59215.0253876524,0,4015.64946580766,4015.64946580766,0,6692.63756572,6692.63756572
1202,3912,10.7104722792608,7013,18415,20.7380165983644,49.8390735240804,265.682020976296,638.50589156671,904.187912543006,24.8058175259693,59.6151014557107,84.42091898168,134.704412305019,323.731205298456,458.435617603475
1301,5479,15.0006844626968,112811,258659,1589.30972085934,12.9547485190247,20361.2055469415,165.967837447175,20527.1733843887,1357.35176601942,11.0640176359884,1368.4157836554,524.764947679924,4.27745318585026,529.042400865775
1302,4725,12.9363449691992,12047,35210,195.841699780663,5.11938146335776,2508.99686295281,65.5861956172197,2574.58305857003,193.949440040955,5.06991702628348,199.019357067238,550.836239820946,14.3990827216231,565.235322542569
1303,4063,11.1238877481177,7779,24702,322.804247593817,2.87571828998828,4135.55869596623,36.8418379558459,4172.40053392208,371.772782107229,3.31195700550646,375.084739112735,1505.03109913055,13.4076471763682,1518.43874630692
1304,4975,13.6208076659822,14138,38411,929.795475813169,0.441131889636194,11911.9367050821,5.65149571559702,11917.5882007977,874.539674679648,0.414916343743078,874.954591023391,2276.79486261656,1.08020187900101,2277.87506449557
1401,5014,13.7275838466804,15905,41977,90.4717750543901,21.0358102069548,1159.06571507224,269.497159583638,1428.56287465588,84.4333371420291,19.6317984718635,104.065135613893,201.141904238105,46.7679883552028,247.909892593307
1402,1847,5.05681040383299,2343,8483,85.4352993068024,0.235396910597798,1094.54165372479,3.01575257414598,1097.55740629894,216.449019503509,0.596374460047005,217.045393963556,2551.56217733713,7.03023057935878,2558.59240791649
1501,5479,15.0006844626968,158263,386576,12872.8905847045,0.0412760094038094,164919.126673896,0.528801466824247,164919.655475363,10994.1067745283,0.0352518225511144,10994.1420263509,2843.97033818144,0.00911898890544536,2843.97945717035
1502,5478,14.9979466119097,60353,156012,2235.6153414233,0,28641.2540571406,0,28641.2540571406,1909.67835786246,0,1909.67835786246,1224.05863514503,0,1224.05863514503
1503,5470,14.9760438056126,40127,109833,2138.79731264548,0.954347195039705,27400.8842546273,12.2264774111139,27413.1107320384,1829.64771005532,0.816402353639737,1830.46411240896,1665.84515587785,0.743312441287898,1666.58846831914
1504,5163,14.135523613963,17220,46016,486.201263090045,5.6443061739937,6228.89530280243,72.3111906195457,6301.20649342198,440.655434698546,5.11556505399751,445.770999752544,957.613514209289,11.1169268384855,968.730441047775
1505,5468,14.9705681040383,39776,102059,1488.16367511419,2.58198186190578,19065.3879975693,33.0786773142698,19098.4666748836,1273.52468290274,2.20958063076757,1275.73426353351,1247.83182561337,2.16500321457938,1249.99682882794
1506,4716,12.911704312115,11780,32192,451.177247985211,0.834025320723663,5780.19033279626,10.6849915807639,5790.87532437703,447.670593522865,0.827543082034356,448.4981366049,1390.62684369677,2.57064824190593,1393.19749193868
1507,4812,13.1745379876797,12453,43644,875.874252102868,0,11221.1329524225,0,11221.1329524225,851.728763689175,0,851.728763689175,1951.53689783057,0,1951.53689783057
1601,5288,14.4777549623546,21749,53748,1285.7324120068,0.933950118510795,16471.9699223134,11.965163293223,16483.9350856066,1137.74338391168,0.826451568239351,1138.56983547992,2116.81064209213,1.53764152757191,2118.3482836197
1602,1626,4.4517453798768,1963,8168,64.6033107973141,0,827.655725559786,0,827.655725559786,185.91713023414,0,185.91713023414,2276.1646698597,0,2276.1646698597
1701,5393,14.7652292950034,24782,69031,2074.609246269,1.99718034425043,26578.5483713196,25.5865794878589,26604.1349508075,1800.07691315122,1.73289415129622,1801.80980730251,2607.63557409167,2.51031297720765,2610.14588706887
1702,5462,14.9541409993155,33374,80710,2896.96424506079,0.854918691760238,37114.0273551774,10.9526639020621,37124.9800190795,2481.85618664932,0.732416786933029,2482.58860343625,3075.02934784949,0.90746721215838,3075.93681506165
1703,5024,13.7549623545517,14387,39180,1125.23257169578,5.14474408296796,14415.7500452607,65.9111250531342,14481.6611703139,1048.03994905085,4.79180701147636,1052.83175606233,2674.936061896,12.2302373952944,2687.16629929129
2101,5479,15.0006844626968,136642,373349,5005.4369847975,0,64126.4128458351,0,64126.4128458351,4274.89912245688,0,4274.89912245688,1145.01421524013,0,1145.01421524013
2102,5477,14.9952087611225,56997,145978,2735.64895929025,0,35047.3605196776,0,35047.3605196776,2337.23725211105,0,2337.23725211105,1601.0886928928,0,1601.0886928928
2103,5467,14.9678302532512,38702,96060,5299.37250168147,0.128639377942157,67892.1240840354,1.6480442932764,67893.7721283287,4535.86945705029,0.11010575784145,4535.97956280813,4721.91282224681,0.114621859089579,4722.0274441059
2104,5343,14.6283367556468,22843,63378,2423.82124122832,0.596758280192325,31052.4260022824,7.64528011460557,31060.071282397,2122.75848724193,0.522634954493672,2123.28112219643,3349.36174578234,0.824631503824153,3350.18637728617
