region_code,n_days,n_years,total_deaths,total_heat_an,total_cold_an,heat_an_97_5,cold_an_2_5,heat_an_99,cold_an_1,n_heat_days,n_cold_days,n_extreme_heat_days,n_extreme_cold_days,mean_temp,p1_temp,p99_temp,total_heat_af_pct,total_cold_af_pct,heat_af_pct_97_5,cold_af_pct_2_5,heat_af_pct_99,cold_af_pct_1,heat_annual_97_5,cold_annual_2_5,heat_annual_99,cold_annual_1,pop_elderly,heat_rate_per_100k,cold_rate_per_100k
110001,5377,14.7214236824093,24796,891.979311836078,26.9285839246843,199.416270831454,24.9655484159538,103.868849542587,17.6856477237779,4771,606,135,135,26.2428962598619,21.094829788208,29.7707707214355,3.59727097852911,0.108600515908551,0.80422758038173,0.100683773253564,0.418893569699094,0.0713245996280766,13.5459908724546,1.69586508442014,7.05562531066209,1.20135444134459,59308,22.840073636701,2.85942045663341
110002,4114,11.2635181382615,8203,272.648942626402,5.40422478452318,57.3354048092311,5.15989983541548,31.1848920781212,3.94908163166422,3543,571,103,103,26.1460291357601,22.0832569694519,29.7386372756958,3.3237710913861,0.065881077465844,0.698956537964538,0.0629025946046017,0.380164477363418,0.0481419191961992,5.09036378380448,0.458107295791323,2.76866354679965,0.350608183268195,22014,23.1233023703302,2.08098162892397
110003,3174,8.68993839835729,4988,181.065454969557,1.41240309907214,34.8006045737329,1.37773286787947,13.9418785642866,1.19276603607106,2818,356,80,80,26.2855213023464,23.1938950157166,29.9558438110352,3.6300211501515,0.028316020430476,0.697686539168662,0.0276209476319059,0.279508391425152,0.0239127112283692,4.00470095165593,0.158543456204466,1.60437024121162,0.137258284396646,14391,27.827815660176,1.10168477662752
110004,5093,13.9438740588638,15830,0.0211489152163984,1071.15556835088,1.06380528767406,84.914500375612,0.0465157346230728,38.4421334934608,4,5089,128,128,19.7300722581709,12.9711748504639,23.7436724090576,0.000133600222466193,6.76661761434542,0.00672018501373378,0.536415037116942,0.000293845449292942,0.242843547021231,0.0762919460677301,6.08973517812532,0.00333592618713476,2.75691915540675,40306,0.18928185894837,15.1087559622025
110005,5101,13.9657768651609,15868,355.965088832069,26.0441221610262,101.26152055861,21.0117197442573,55.5773671771703,13.4837047902613,3764,1337,128,128,25.5844212576727,20.5429935455322,29.1862297058105,2.24328893894674,0.164129834642212,0.638149234677403,0.132415677742988,0.350248091613123,0.0849741920233253,7.25069013605811,1.5045149258165,3.9795399649993,0.965481900537723,40903,17.7265485075865,3.67825080267096
110006,3949,10.8117727583847,7310,172.093779081115,38.110890623812,51.0605119732276,21.5506480657128,25.288484555724,11.3401138775424,2707,1242,99,99,25.3009135875861,17.9848990631104,29.6972314453125,2.35422406403714,0.521352812911244,0.698502215776028,0.294810507054894,0.345943701172695,0.155131516792645,4.72267713300111,1.9932575857183,2.33897669890559,1.0488672053108,19124,24.6950278864312,10.4228068694745
120001,5303,14.5188227241615,20377,692.132401886347,50.0292165888104,169.194504711982,36.5223196406174,91.4556810138657,22.6469740989532,4419,884,133,133,26.0082348383487,19.5311407852173,29.9147220611572,3.39663543154707,0.245518067374051,0.830320973214809,0.179233055114185,0.448818182332363,0.111139883687261,11.6534589564494,2.51551522699142,6.29911135023844,1.55983543082079,48069,24.2431899071115,5.23313409264063
120002,2180,5.96851471594798,2858,0,395.536348226892,5.59831425632065,16.2112781705296,2.31917875578956,6.96984975600327,0,2180,55,55,16.498581129914,12.773588180542,19.414655380249,0,13.8396203018507,0.195882234300932,0.567224568597957,0.0811469123789209,0.243871579986119,0.937974441339961,2.71613273017704,0.388568825941347,1.16776955200926,7060,13.2857569594895,38.4721349883433
120003,1569,4.29568788501027,1902,38.2942625172207,5.02110870914271,10.6559831977341,4.12048663804491,5.70977153934323,2.7481190529776,1239,330,40,40,25.6281273375658,19.8706864929199,29.0386845397949,2.01336816599478,0.263990994171541,0.560251482530707,0.216639676027598,0.300198293340864,0.144485754625531,2.48062323962547,0.959214623674892,1.32918677804023,0.639738995602338,4872,50.9159121433799,19.6883132938196
120004,3130,8.56947296372348,4729,5.86842728455512,27.6031166976243,3.11936105214029,7.34136992321168,1.7715494218943,4.264527359096,553,2577,79,79,23.6956701833219,20.0300778198242,26.6653712081909,0.124094465733879,0.583698809423224,0.0659623821556415,0.155241487063051,0.0374613961068788,0.0901782059440896,0.364008506164294,0.856688614841236,0.206727931740221,0.497641730961602,12146,2.99694143062979,7.05325716154483
120005,1841,5.0403832991102,2284,28.9967668241873,4.1184068931378,8.70035484243914,2.9287673327877,4.82384590046036,1.9193949945485,1263,578,46,46,25.279078102837,20.6070777893066,28.5206707000732,1.26956071909752,0.18031553822845,0.380926219020978,0.1282297431168,0.211201659389683,0.0840365584303195,1.72612960684459,0.581060439055246,0.957039497633432,0.380803379553959,6269,27.5343692270632,9.26878990357706
130001,5479,15.0006844626968,101273,5429.51952165176,0.617581957822624,1088.45620797048,0.617548660564248,540.652553176263,0.617548660564248,5319,160,137,137,26.8418930399742,24.351833152771,30.6361365509033,5.36127054758105,0.000609818962430879,1.07477433074016,0.000609786083718511,0.533856559177928,0.000609786083718511,72.560436203909,0.0411680321721284,36.0418589245537,0.0411680321721284,229147,31.6654532696954,0.0179657740106257
130002,2120,5.80424366872006,2767,22.162309887977,0.554591717627195,5.1082958552625,0.417003783546245,2.8366014233652,0.290545287747573,1473,647,53,53,25.2864890962277,23.1974638748169,27.7960402107239,0.80095084524673,0.0200430689420743,0.184614956821919,0.0150706101751444,0.102515411035967,0.0105003718015025,0.880096726950296,0.0718446377076727,0.488711636737802,0.0500573897876421,6804,12.934990108029,1.05591766178237
