metric,mean,ci_lo,ci_hi,annual_mean,annual_ci_lo,annual_ci_hi,af_mean,af_ci_lo,af_ci_hi
heat_total,244207.291669574,182085.776031907,307559.800221273,16737.7471955487,12479.9946237931,21079.8709097617,1.78543963836622,1.33125902952121,2.24862023868666
cold_total,650984.741442012,541069.738901179,768291.840018058,44617.9061891361,37084.4311935745,52658.0287701843,4.75945641670194,3.95584977152011,5.6171078906915
total,895192.033111585,800741.476862128,987755.927024781,61355.6533846848,54882.0975699739,67699.8990669593,6.54489605506817,5.85435251789282,7.22164589388036
heat_p99,38072.2008167791,33871.2047574428,42081.5740079629,2609.43425600755,2321.50178056857,2884.23307314297,0.278352116324566,0.247637943812845,0.307665302559104
cold_p1,47119.2973152374,42862.8295408092,51471.1074391088,3229.51407839802,2937.7796217104,3527.78321360036,0.344496925474359,0.313377190138301,0.376313724394173
heat_p97_5,69694.7473564527,61128.8893277564,77953.806364816,4776.815033387,4189.71886104472,5342.88347798589,0.50954975040016,0.446923354781534,0.569933087966877
cold_p2_5,110607.872048648,101127.828201203,120393.20094755,7580.96364580638,6931.21000316759,8251.64125012923,0.808672328008137,0.739362169646523,0.880214475546425
