"Level","Total Deaths","Heat AN (P99)","Heat AF (%)","Cold AN (P1)","Cold AF (%)","Total AN","Total AF (%)","Annual Heat","Annual Cold"
"Intermediate","13,677,712","32,064","0.23","33,935","0.25","893,638","6.53","16,794","44,455"
"Immediate","13,677,712","27,944","0.20","23,323","0.17","702,096","5.13","18,706","38,094"
