"Level","Total YLL Heat","Total YLL Cold","Annual YLL Heat","Annual YLL Cold","YLL Rate Heat (per 100k)","YLL Rate Cold (per 100k)"
"Intermediate","—","—","215,151","569,534","670","1774"
"Immediate","—","—","239,654","488,033","746","1520"
