"Level","N Regions","MMT (°C)","Heat P99 RR","Heat P95 RR","Cold P1 RR","Cold P5 RR","Cochran Q","I² (%)"
"Intermediate",129,"25.0","1.238 (1.186–1.292)","1.071 (1.047–1.096)","1.101 (1.078–1.126)","1.036 (1.021–1.051)","4,616.9","—"
"Immediate",495,"24.8","1.183 (1.157–1.209)","1.060 (1.046–1.074)","1.099 (1.084–1.115)","1.055 (1.044–1.066)","11,835.6","—"
