region,n_days,temp_range,temp_mean,temp_sd,temp_p1,temp_p99,deaths_total,deaths_mean,deaths_zero_pct,converged,vcov_finite,vcov_positive,rr_p99,rr_p99_se,rr_p1,rr_p1_se,se_category,status
2103,5467,8.81889152526856,27.8073082186523,1.5081491659936,24.7863460159302,31.1368223571777,38702,7.07920248765319,0,TRUE,TRUE,TRUE,1.30805111098547,0.174625851985033,1.54121264578977,0.161350185321317,valid,success
2104,5343,9.83292388916016,27.3562319743238,1.53262426684986,24.328041305542,30.9751581954956,22843,4.2753134942916,0,TRUE,TRUE,TRUE,1.95094302639217,1.28855350196092,1.6672712346711,0.851607356217988,valid,success
2105,5479,9.11856079101562,26.9283916130839,1.38119370411923,24.0951343536377,30.2497241210938,59442,10.8490600474539,0,TRUE,TRUE,TRUE,1.1571916841292,0.197621970607532,1.45906362619441,0.328593122317646,valid,success
2201,5479,9.79294013977051,28.4165532581561,1.84078194322504,24.7539028549194,32.1534326171875,97290,17.7568899434203,0,TRUE,TRUE,TRUE,1.33237312446872,0.103734232412583,1.2007602161341,0.0776024216726505,valid,success
2202,5472,3.75629043579102,27.1400619173608,0.593485882446411,25.6722415924072,28.2766166305542,39240,7.17105263157895,0,TRUE,TRUE,TRUE,1.91396390366103,0.893764542849514,3.33109020732352,1.82572804993521,valid,success
2203,5448,9.81865882873535,28.0225855362398,1.81782646734021,24.6125285148621,31.9794438171387,31750,5.82782672540382,0,TRUE,TRUE,TRUE,1.55315571999792,0.192902715306685,1.18939639723678,0.120045530167702,valid,success
2204,4299,9.34484481811523,27.2906350874296,1.72961482430222,23.9361375045776,31.2143125534058,8714,2.02698301930682,0,TRUE,TRUE,TRUE,1.78948838117721,0.420117533950792,1.08578453206234,0.176142281244198,valid,success
2205,4335,9.38998031616211,26.7307639274905,1.76160108330336,23.5173168945313,31.0303971481323,8946,2.0636678200692,0,TRUE,TRUE,TRUE,1.16802471584334,0.216853458579228,1.06378699542468,0.200124556983114,valid,success
2206,5107,9.59049034118652,27.7351238134208,1.79509763570118,24.2466467285156,31.8547932052612,15491,3.03328764440963,0,TRUE,TRUE,TRUE,2.23859674516836,0.891451370271819,1.2750707465522,0.279066166523487,valid,success
2301,5479,2.96603393554688,26.5314864325554,0.418251384108487,25.6248027420044,27.5437975311279,286791,52.3436758532579,0,TRUE,TRUE,TRUE,1.08842410142237,0.095132720054838,1.81365204362628,0.224422869717381,valid,success
2302,5479,5.71801567077637,27.2908246485415,0.728282371282736,25.4466558074951,28.8570378875732,59443,10.8492425625114,0,TRUE,TRUE,TRUE,1.09011070335446,0.076313304655661,1.21481660666125,0.0987165391004925,valid,success
2303,5458,9.1462574005127,27.5579025657153,1.52147335133648,24.5394206047058,30.6694530677795,34297,6.283803591059,0,TRUE,TRUE,TRUE,1.21945233646872,0.615272858292658,1.20838293387937,0.472326899681046,valid,success
2304,5479,8.62887001037598,26.3666119029823,1.671266234341,23.3121702957153,29.9656707763672,70414,12.8516152582588,0,TRUE,TRUE,TRUE,1.48659085684642,0.12018951998725,1.32939320206296,0.0944724482979617,valid,success
2305,5438,7.94130325317383,26.8895472280678,1.4751671191624,23.9324524307251,29.8656258201599,28239,5.19290180213314,0,TRUE,TRUE,TRUE,1.12489655641457,0.358370741861746,1.21539461294861,0.539855866080879,valid,success
2306,5479,2.90337944030762,26.5640276087138,0.416456818515037,25.6134373092651,27.4916244125366,86602,15.8061690089432,0,TRUE,TRUE,TRUE,1.29249908215042,0.308840327735208,2.03410703810431,0.634295563470834,valid,success
2401,5479,3.92567253112793,26.4150327556128,0.670604210903873,24.9698950195313,27.929416923523,126316,23.0545720021902,0,TRUE,TRUE,TRUE,1.05432958315149,0.0537289430159386,1.08633849173509,0.0858876255046954,valid,success
