region_code,n_days,n_deaths,mmt,rr_p99,rr_p99_lo,rr_p99_hi,rr_p1,rr_p1_lo,rr_p1_hi,in_mvmeta,conv_status,conv_heat,conv_cold,conv_mmt,region_name,primary_state,macro_region,n_municipalities,ac_pct,hdi,gdp_per_capita_brl,elderly_pct,urban_pct,hospital_beds_per_1000,physicians_per_1000,mean_temp_annual,is_good
230011,5479,57823,26.7703365965564,1.31600989346391,1.10340739243573,1.56957625222341,1.4199103248601,1.21875559575899,1.65426549642936,True,Good,Good,Good,Good,,,,,,,,,,,,,1
230012,4825,12591,27.8390394361091,1.65455193481395,1.21556995459506,2.25206463408233,1.11020446291277,0.788731145285216,1.56270480358135,True,Partial,High,Good,Good,,,,,,,,,,,,,0
230013,5330,21000,25.9000158238652,1.02622210959892,0.822659506610221,1.2801551671956,1.35055123820136,1.0494360158322,1.73806560808837,True,Good,Good,Good,Good,,,,,,,,,,,,,1
230014,3943,7239,26.4728386711352,1.17748629115179,0.785192540741101,1.76577577334314,1.47837051411922,0.992773423622951,2.20148860254664,True,Good,Good,Good,Good,,,,,,,,,,,,,1
230015,5475,39041,28.6608336546927,1.08946938602808,0.921595607420384,1.28792230945495,1.38476941101709,1.13867169593071,1.68405549074553,True,Good,Good,Good,Good,,,,,,,,,,,,,1
230016,5428,27734,27.5208934011363,1.17569103573872,0.921529817850806,1.49995082605147,1.39406574894327,1.09604221754895,1.7731245031079,True,Good,Good,Good,Good,,,,,,,,,,,,,1
230017,4686,11133,27.0896202058503,1.15568320192766,0.837978745807946,1.59383954533362,1.08112519641308,0.701665373025653,1.66579645405487,True,Good,Good,Good,Good,,,,,,,,,,,,,1
230018,4225,8694,26.3979890534372,1.03002103155249,0.731404102390707,1.4505569793396,1.4009710039886,0.956942954356717,2.0510310934221,True,Good,Good,Good,Good,,,,,,,,,,,,,1
240001,5479,94078,25.5949333017523,1.02013059274819,0.870707879498626,1.19519582946695,1.12216216718868,0.982912454991922,1.28113945761319,True,Good,Good,Good,Good,,,,,,,,,,,,,1
240002,4432,9406,28.2503894042969,1.0,1.0,1.0,1.55589118567105,0.913281538957499,2.6506583987367,True,Good,Good,Good,Good,,,,,,,,,,,,,1
240003,4023,7528,24.4085303878784,1.0968390910887,0.519424925769875,2.31613065152229,1.0,1.0,1.0,True,Good,Good,Good,Good,,,,,,,,,,,,,1
240004,3747,6591,24.580786262281,1.24405142133996,0.791545444326724,1.95524331550463,1.4140527710428,0.958654993395895,2.0857819059709,True,Good,Good,Good,Good,,,,,,,,,,,,,1
240005,2875,4159,27.5947298442956,1.09983768638925,0.660219474288338,1.83218305958933,1.53507770879995,0.807441916766299,2.9184310637375,True,Good,Good,Good,Good,,,,,,,,,,,,,1
240006,3036,4554,27.2921244765773,1.19217421155596,0.73477161129641,1.9343144575107,1.17671788143586,0.659554296797574,2.09939496901779,True,Good,Good,Good,Good,,,,,,,,,,,,,1
240007,5014,14166,28.2570784720989,1.20986306633869,0.929543453460403,1.57471781856061,1.00208801198456,0.761955044479951,1.31789977773365,True,Good,Good,Good,Good,,,,,,,,,,,,,1
240008,4311,8588,26.9696946115205,1.10519887902957,0.779299845596659,1.56738714771978,1.03504826381277,0.72345643471192,1.48084232445654,True,Good,Good,Good,Good,,,,,,,,,,,,,1
240009,5436,29571,29.8923464775086,1.0,1.0,1.0,1.07346933348069,0.785083298186661,1.46778872074477,True,Good,Good,Good,Good,,,,,,,,,,,,,1
240010,5259,17977,29.3130070256705,1.01726853507558,0.838621636250551,1.23397158828566,1.04078948503142,0.824500923994253,1.31381629859705,True,Good,Good,Good,Good,,,,,,,,,,,,,1
240011,4996,13799,29.2282007217407,1.0,1.0,1.0,1.14578067544657,0.807701058988266,1.62537035406545,True,Good,Good,Good,Good,,,,,,,,,,,,,1
250001,5479,91038,28.0917543792725,1.0,1.0,1.0,1.01705375034545,0.799591823511487,1.29365796482146,True,Good,Good,Good,Good,,,,,,,,,,,,,1
250002,5407,25151,27.1713243484497,1.0,1.0,1.0,1.17125400216357,0.786272565745646,1.74473331176604,True,Good,Good,Good,Good,,,,,,,,,,,,,1
