intermediate_code,intermediate_name,pop_total,pop_elderly,gdp_total,pop_urban,n_municipalities,pct_elderly,gdp_per_capita,urbanization_rate
4205,Caçador,229280,34441.0,12417260,178191.0,16,15.021371249127705,54157.623866015354,77.71763782274948
4206,Joinville,1435381,207248.0,99734207,1060238.0,25,14.438535831253166,69482.74151601561,73.86456975534719
4207,Blumenau,2096406,305060.0,140441702,1389058.0,60,14.551570640419841,66991.65238031183,66.25901662178032
4301,Porto Alegre,4691746,902124.0,239171956,4356680.0,90,19.22789511623178,50977.174808695956,92.85839429500233
4302,Pelotas,980691,204689.0,45559728,835959.0,24,20.87191582261895,46456.76160992606,85.24183458398211
4303,Santa Maria,729238,164205.0,33887374,594479.0,40,22.517340017936533,46469.56686294461,81.52057353017807
4304,Uruguaiana,445081,87866.0,17901461,415621.0,10,19.74157512902146,40220.68117938083,93.38098009126429
4305,Ijuí,760825,171381.0,44617756,526090.0,77,22.525679361219726,58643.914172115794,69.14730719942168
4306,Passo Fundo,1278973,269357.0,81261318,912206.0,144,21.060413315996506,63536.38270706262,71.32331956968599
4307,Caxias do Sul,1223287,232734.0,78644226,963921.0,54,19.025298233366332,64289.268176642116,78.79761658547831
4308,Santa Cruz do Sul - Lajeado,773124,161060.0,40239864,495335.0,58,20.83236324315375,52048.39585887904,64.06928254717226
5001,Campo Grande,1532743,222767.0,78976061,1206321.0,32,14.533878151784089,51525.96423536105,78.70340950831287
5002,Dourados,891152,119699.0,51519865,614968.0,34,13.431939781316768,57812.65710002334,69.00820510979048
5003,Corumbá,333118,48625.0,11707838,275949.0,13,14.59692961653228,35146.2184571233,82.83821348591191
5101,Cuiabá,1459230,181879.0,84403767,1133248.0,30,12.464039253578942,57841.304660677204,77.66068405940119
5102,Cáceres,305192,41358.0,14057835,216952.0,21,13.55146923903641,46062.265721250886,71.08705339589504
5103,Sinop,995843,100092.0,70079185,560363.0,42,10.05098193189087,70371.72024104201,56.270215284939496
5104,Barra do Garças,373083,42896.0,25371766,200728.0,30,11.497709624936006,68005.68774240585,53.80250507259778
5105,Rondonópolis,525301,64254.0,39477653,371510.0,18,12.231844218838342,75152.44212365862,70.72326152053775
5201,Goiânia,3697039,522686.0,144443443,2963588.0,80,14.13796283999168,39070.03496581994,80.16112353697108
5202,Itumbiara,434631,70879.0,19023734,327546.0,22,16.30785654957884,43769.85074695546,75.36185868012176
5203,Rio Verde,663472,88346.0,44034291,503635.0,29,13.315708876938286,66369.47904357682,75.90900595654377
5204,São Luís de Montes Belos - Iporá,310122,56990.0,13824513,233326.0,35,18.376638871153933,44577.65975970747,75.23684227497566
5205,Porangatu - Uruaçu,513099,86487.0,18208849,396780.0,46,16.85581145159121,35487.983800397196,77.3301058859986
5206,Luziânia - Águas Lindas de Goiás,1438132,139029.0,30093049,995839.0,34,9.667332345014227,20925.09519293083,69.2453126694907
5301,Distrito Federal,2817381,365090.0,286943782,2482210.0,1,12.958488752497443,101847.70252940585,88.10345494627812
